class and lipid,type,lipid,fold change-1hr,fold change-12hr,fold change-24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N4_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Phosphatidylinositol > PI (38:6),Phosphatidylinositol,PI (38:6),0.987193124,0.985455905,0.956608754,3.439721047,3.432019566,3.36493731,3.476315649,3.313297659,3.363314862,3.422888491,3.458903659,3.417800436,3.345977232,3.369761203,3.310939618,3.296845043,3.388140322,3.410591696,3.342801564,3.362169489,3.370024338,3.314217075,3.324138385,3.428416703,3.266814785,3.324681606,3.234628657,3.260343362,3.392366302,3.331313934,3.388704984,3.347685141,3.31172423,3.281147067,3.316930213,3.283663024,3.27550027
Phosphatidylinositol > PI (38:7),Phosphatidylinositol,PI (38:7),0.91049387,1.0415557,0.950550423,3.269681054,3.403563201,3.465001964,3.337607028,3.453892972,3.267739495,3.394777308,3.45897914,3.311766601,3.296076992,3.316092045,3.379599208,3.280182162,3.383104151,3.305884267,3.291080147,3.24071398,3.410497198,3.433276902,3.320167097,3.283477658,3.343818109,3.4490277,3.394332617,3.388932066,3.349129853,3.353677806,3.363642092,3.254170928,3.395738676,3.328693518,3.36892998,3.486200906,3.285201655
Phosphatidylinositol > PI (38:8),Phosphatidylinositol,PI (38:8),1.011827948,1.014437438,1.028381094,3.125637418,3.171486603,3.152722451,3.166270253,3.185983904,3.170173703,3.167311461,3.169345243,3.124034494,3.194741866,3.16926878,3.1613261,3.156827719,3.158259968,3.135418932,3.135755839,3.195866494,3.159097788,3.154697826,3.151290187,3.162456897,3.11948027,3.126611916,3.156694525,3.156021895,3.142301875,3.135011762,3.119671534,3.150928314,3.14207023,3.191875627,3.131977786,3.14606602,3.127435286
Phosphatidylinositol > PI (38:9),Phosphatidylinositol,PI (38:9),1.01453959,0.976266202,0.99142799,3.170795483,3.188388473,3.147330018,3.116879954,3.14787414,3.129070901,3.215045092,3.173232932,3.153333098,3.128547914,3.195960537,3.206691011,3.133890066,3.176421227,3.18117452,3.125897494,3.172112355,3.142326916,3.185921639,3.159717578,3.149206823,3.143245982,3.204895622,3.174728364,3.142921088,3.178999988,3.173227106,3.124465125,3.192600934,3.156555241,3.14768872,3.123132698,3.186719109,3.153156095
Phosphatidylinositol > PI (40:0),Phosphatidylinositol,PI (40:0),1.031927233,0.978095278,1.014041421,3.158645928,3.176693094,3.187661735,3.188647326,3.133417578,3.177005246,3.220766905,3.162468846,3.172024684,3.178251588,3.158941194,3.208172555,3.192623228,3.222784111,3.162976435,3.231754978,3.171100183,3.185649825,3.18259156,3.174954848,3.167984545,3.22755768,3.18073934,3.214589587,3.211739789,3.133724112,3.145339419,3.164376682,3.155469677,3.178844658,3.131907271,3.182174924,3.243846352,3.178378331
Phosphatidylinositol > PI (40:1),Phosphatidylinositol,PI (40:1),1.027768221,0.960506899,0.972771035,3.143096058,3.116587852,3.14515913,3.121251195,3.133117213,3.150375723,3.138151093,3.145022311,3.140533212,3.14369542,3.149656301,3.160486569,3.146580738,3.155329991,3.168373751,3.148763048,3.139797287,3.149970042,3.136111525,3.141493701,3.124758499,3.122700737,3.176427017,3.157051632,3.126176912,3.115929905,3.206469695,3.183309744,3.135527032,3.161044437,3.139633578,3.133123603,3.158664013,3.153796612
Phosphatidylinositol > PI (40:10),Phosphatidylinositol,PI (40:10),0.887726469,0.991713907,0.882946233,3.187159628,3.300630292,3.196463622,3.194675294,3.377422853,3.165363083,3.253027717,3.24284943,3.182311944,3.182528804,3.215076854,3.251574989,3.163501313,3.23079625,3.188146357,3.226914266,3.179838959,3.20880673,3.292606054,3.20333758,3.173320353,3.18170645,3.184077909,3.519786036,3.275246873,3.16500087,3.262991871,3.236577596,3.188967869,3.226491671,3.188320915,3.157662262,3.368335271,3.254103197
Phosphatidylinositol > PI (40:2),Phosphatidylinositol,PI (40:2),0.947020256,1.030597121,0.897893883,3.220589241,3.206167223,3.21950597,3.170150225,3.25260552,3.176044961,3.178533828,3.193224838,3.237317517,3.164221986,3.13971544,3.243757173,3.224056323,3.192154735,3.209831266,3.220144744,3.179517351,3.19871209,3.31578151,3.204239429,3.221966896,3.171469049,3.227691384,3.410635567,3.157632054,3.201577389,3.245759385,3.286986131,3.207030868,3.212980899,3.216392921,3.209482873,3.217110059,3.21986212
Phosphatidylinositol > PI (40:3),Phosphatidylinositol,PI (40:3),1.003724725,0.925175166,1.009988646,3.134960841,3.216435139,3.181534935,3.143364623,3.21434044,3.157867627,3.145096946,3.210024106,3.207397396,3.17930473,3.248801835,3.18911962,3.150185226,3.225392028,3.230689024,3.2078013,3.156488611,3.177444177,3.191294511,3.152777442,3.170672372,3.195800083,3.188472899,3.126923293,3.156221974,3.170044546,3.181883623,3.149231462,3.143377116,3.144150631,3.18055597,3.15368078,3.179511604,3.179781544
Phosphatidylinositol > PI (40:4),Phosphatidylinositol,PI (40:4),1.050351045,1.055591443,0.905036408,3.475854194,3.50693238,3.405401039,3.459292986,3.387108545,3.400375665,3.539487635,3.498916795,3.397547261,3.498327127,3.468911283,3.393203072,3.472972843,3.484496329,3.535496688,3.368766513,3.472124321,3.461837575,3.49815063,3.423557175,3.552098546,3.457506488,3.484353974,3.357359246,3.392221991,3.441340045,3.41474949,3.506264174,3.463967636,3.290457594,3.331431371,3.423252461,3.419231906,3.382902776
Phosphatidylinositol > PI (40:5),Phosphatidylinositol,PI (40:5),0.998918255,1.101157657,0.936175534,3.69875109,3.681966292,3.685908292,3.668331896,3.623879625,3.593279449,3.764539294,3.735600523,3.685582349,3.543852115,3.639980304,3.662984394,3.588836239,3.726978133,3.812494925,3.794599598,3.780334631,3.740997121,3.752549361,3.668898222,3.82949292,3.72380202,3.693199179,3.606086754,3.572936658,3.725540885,3.649007583,3.857561677,3.628386915,3.662122952,3.57757455,3.67760881,3.73649693,3.679687696
Phosphatidylinositol > PI (40:6),Phosphatidylinositol,PI (40:6),0.952706506,0.913144417,1.011321541,3.438602494,3.587778325,3.58223617,3.493474816,3.401755445,3.4339202,3.480955053,3.580204008,3.557673215,3.330636981,3.543096649,3.546392149,3.484302717,3.598587018,3.495041797,3.544073039,3.52834586,3.518105803,3.470619237,3.500428632,3.530494281,3.414943315,3.496810719,3.354995369,3.326192463,3.502069185,3.409429285,3.463582484,3.367695056,3.453266377,3.370638936,3.389825033,3.558746994,3.424786964
Phosphatidylinositol > PI (40:7),Phosphatidylinositol,PI (40:7),0.894483496,0.963168665,0.936462657,3.265369809,3.346654171,3.32891351,3.257654612,3.209756252,3.263744955,3.176195508,3.287895772,3.252610371,3.185972585,3.263621897,3.230402965,3.224952421,3.226744243,3.211761126,3.259283243,3.188146361,3.209520406,3.280059126,3.236164301,3.183201517,3.209042964,3.284033512,3.296217538,3.211841126,3.221424705,3.179379449,3.243048006,3.217052096,3.205669851,3.229282457,3.189136476,3.224455396,3.19237789
Phosphatidylinositol > PI (40:8),Phosphatidylinositol,PI (40:8),0.966620951,1.026218748,1.061580816,3.178458968,3.228426053,3.169821357,3.138327991,3.235205164,3.113849834,3.144972549,3.232681097,3.175934916,3.207160266,3.106007246,3.202880507,3.195490095,3.195960532,3.189142093,3.205502124,3.158609759,3.200144364,3.232706518,3.17627076,3.203462647,3.185553518,3.142871081,3.218798028,3.169856609,3.10028095,3.116886591,3.167925544,3.124575977,3.215537135,3.168379645,3.167151885,3.237619164,3.145382925
Phosphatidylinositol > PI (40:9),Phosphatidylinositol,PI (40:9),0.988725749,0.979722623,0.974183426,3.13607343,3.174315741,3.131804689,3.128399302,3.171351979,3.10249548,3.169603939,3.167878337,3.11925592,3.15610679,3.146078431,3.148972659,3.147552694,3.205301858,3.135075411,3.126059969,3.141111017,3.140218864,3.183600098,3.132426231,3.135698646,3.11289982,3.174989682,3.201468167,3.146779018,3.15495323,3.128257097,3.140011277,3.163697976,3.119335113,3.14285858,3.132195662,3.135399857,3.169815482
Phosphatidylinositol > PI (42:0),Phosphatidylinositol,PI (42:0),1.009782499,0.991755956,1.015030313,3.147459929,3.145016094,3.172100668,3.12948368,3.169109927,3.151719139,3.156409846,3.157831394,3.135679579,3.181248912,3.15747493,3.150781023,3.173512625,3.177651942,3.136035329,3.15665214,3.135355338,3.158006492,3.157583715,3.178453207,3.151241134,3.140099355,3.143682943,3.166376853,3.135507952,3.17662948,3.150455584,3.141775795,3.155232796,3.184112015,3.149212986,3.171193893,3.123805951,3.152013031
Phosphatidylinositol > PI (42:1),Phosphatidylinositol,PI (42:1),0.997571676,1.01382695,0.990872897,3.153119468,3.143239731,3.151461815,3.151284058,3.151964062,3.122032322,3.179787287,3.160312463,3.137265499,3.143657985,3.146394766,3.13339202,3.159693525,3.152123189,3.155603245,3.150860809,3.155627524,3.120883124,3.172982217,3.182460335,3.162038426,3.127933735,3.156627917,3.141944963,3.161427927,3.128379909,3.149920841,3.160624599,3.127972551,3.142320658,3.146121864,3.134304671,3.134304663,3.171948692
Phosphatidylinositol > PI (42:10),Phosphatidylinositol,PI (42:10),0.951895265,1.007988616,0.986234261,3.122314225,3.183372382,3.164382636,3.131894451,3.1441631,3.127474146,3.127584232,3.144717425,3.125669936,3.113702787,3.150664387,3.125975495,3.140413789,3.176669965,3.121868337,3.117973585,3.130597513,3.133129998,3.171381253,3.149496266,3.143782759,3.116474943,3.157130274,3.140382354,3.153442918,3.152416811,3.140244025,3.129225744,3.140080482,3.129335382,3.142420784,3.128702943,3.110394434,3.166441989
Phosphatidylinositol > PI (42:11),Phosphatidylinositol,PI (42:11),1.001259837,1.024458116,0.972732113,3.125006077,3.157807235,3.156573412,3.131772631,3.142902337,3.13127857,3.146165292,3.149157538,3.138820414,3.149994632,3.164852338,3.139167296,3.13534898,3.138075258,3.137031151,3.132656682,3.130983146,3.141600294,3.154782978,3.173197956,3.163232986,3.136961453,3.138927665,3.146469163,3.122012645,3.182722746,3.145264825,3.167565463,3.11757622,3.158434902,3.148250913,3.128974101,3.136390793,3.125806492
Phosphatidylinositol > PI (42:3),Phosphatidylinositol,PI (42:3),0.992504745,1.016513978,0.988186486,3.159188103,3.180664854,3.17336115,3.157136322,3.18266571,3.13803101,3.141487432,3.218845261,3.151284053,3.182574448,3.156900349,3.165184981,3.174234335,3.183241397,3.151988546,3.144829449,3.15702743,3.175732127,3.21976264,3.149391597,3.16202048,3.14239576,3.192132413,3.20198128,3.15457006,3.140332057,3.168538763,3.171510013,3.155257097,3.175099964,3.161655469,3.182660013,3.146809993,3.16158363
Phosphatidylinositol > PI (42:4),Phosphatidylinositol,PI (42:4),1.024915142,0.975530739,0.955589201,3.144281496,3.14559418,3.18964753,3.144680076,3.152300608,3.186871643,3.161086396,3.162444949,3.155117345,3.162970466,3.159525115,3.144611595,3.162648062,3.158688121,3.179586289,3.200855999,3.159290441,3.141299265,3.153552718,3.16236128,3.158060824,3.159519099,3.20867782,3.17165044,3.17174403,3.124119351,3.140376067,3.18100279,3.121815848,3.137214842,3.151866106,3.152117067,3.15307673,3.149699375
Phosphatidylinositol > PI (42:5),Phosphatidylinositol,PI (42:5),1.002036954,0.980106561,0.978681198,3.202989375,3.140049022,3.140828488,3.130777519,3.192098928,3.163989831,3.145705979,3.201561004,3.162265647,3.141581483,3.147237199,3.166116224,3.165594503,3.199513866,3.189209521,3.172813056,3.137613628,3.158911078,3.169357,3.191797444,3.179097758,3.140721712,3.205512947,3.17804988,3.147942109,3.166021414,3.145059631,3.165962146,3.145134258,3.205761797,3.132944573,3.156827722,3.147830885,3.145867413
Phosphatidylinositol > PI (42:6),Phosphatidylinositol,PI (42:6),0.978694566,1.011454274,0.976960871,3.162719727,3.18352041,3.177617325,3.138687898,3.203815902,3.138574278,3.16214607,3.19402013,3.183041989,3.14109219,3.177455723,3.146208715,3.174240151,3.189989763,3.15024668,3.139633577,3.155845989,3.173483504,3.173466021,3.178447448,3.173454376,3.144275269,3.153015669,3.167677649,3.145972936,3.17714968,3.187413573,3.16236128,3.154046457,3.142145372,3.161182293,3.167960944,3.137986764,3.152679676
Phosphatidylinositol > PI (42:7),Phosphatidylinositol,PI (42:7),1.015184014,1.004226275,1.028834472,3.133136392,3.120935725,3.153888035,3.139797286,3.161775183,3.142733544,3.151719137,3.156676364,3.161751241,3.128573753,3.128722314,3.152985134,3.176785605,3.185836717,3.14909592,3.144941443,3.157087927,3.165363082,3.175378465,3.1530462,3.155220647,3.13443853,3.150455584,3.143476999,3.133851773,3.124178085,3.139400499,3.135641452,3.168768496,3.131323506,3.139350093,3.14104825,3.139973524,3.162140092
Phosphatidylinositol > PI (42:8),Phosphatidylinositol,PI (42:8),1.022773056,1.036341287,1.027374094,3.132528669,3.151890596,3.129741469,3.130160041,3.177507676,3.172900561,3.144262805,3.154478784,3.160480565,3.138075257,3.147441371,3.126235371,3.128037236,3.166808914,3.184356386,3.164543219,3.14202639,3.196623828,3.210109783,3.157795154,3.139709145,3.1533514,3.184623332,3.142639738,3.179379452,3.171029884,3.13769587,3.152453499,3.181574959,3.144219186,3.152624672,3.136771319,3.260953428,3.133583644
Phosphatidylinositol > PI (42:9),Phosphatidylinositol,PI (42:9),0.954201666,1.016279348,0.989560696,3.137689547,3.164650248,3.168297114,3.225887985,3.157033477,3.137417444,3.151792632,3.118516067,3.15628865,3.186526941,3.184254111,3.158072894,3.127338119,3.15427181,3.142914837,3.14331467,3.137183175,3.194636458,3.15299735,3.160018128,3.164834507,3.13371773,3.172988054,3.162283578,3.142508379,3.14532077,3.145513414,3.150381863,3.177218993,3.138751005,3.175540837,3.124041019,3.115171031,3.139406799
Phosphatidylinositol > PI (44:0),Phosphatidylinositol,PI (44:0),1.036217224,0.992464774,1.019805286,3.113816416,3.150928312,3.155852055,3.104814788,3.122032321,3.133423961,3.150633687,3.160978489,3.115643822,3.162821239,3.147206259,3.126189904,3.121520483,3.150062274,3.128438074,3.147552695,3.132573477,3.149293061,3.148343513,3.116886591,3.118780445,3.12565693,3.133641112,3.139041191,3.131804691,3.127273328,3.10858535,3.123616504,3.128702943,3.119526445,3.143732854,3.132752667,3.14066517,3.132887007
Phosphatidylinositol > PI (44:1),Phosphatidylinositol,PI (44:1),1.020010502,1.010060461,1.003388722,3.143583103,3.145196438,3.154825544,3.150431013,3.158030642,3.158989387,3.144785885,3.149520883,3.150523143,3.187830852,3.160600601,3.136314646,3.144841895,3.163781385,3.138605838,3.148485463,3.16251067,3.158597702,3.142883586,3.156537071,3.158012534,3.130513912,3.170009312,3.155621457,3.160840571,3.142983585,3.165529236,3.160396523,3.152037512,3.165843582,3.15708793,3.154563978,3.170859956,3.146605526
Phosphatidylinositol > PI (44:10),Phosphatidylinositol,PI (44:10),1.018549638,1.023417065,0.937541489,3.132073921,3.167234639,3.146320356,3.120606863,3.147286705,3.13538714,3.142201721,3.18018901,3.152661342,3.141926169,3.139469807,3.148442264,3.143114796,3.15910381,3.151572116,3.156543122,3.161344073,3.170426044,3.186600425,3.147997707,3.146109454,3.135348977,3.168803825,3.160162315,3.163489388,3.162038426,3.151345361,3.162851085,3.125487805,3.132035472,3.117953729,3.137676893,3.130372402,3.139841351
Phosphatidylinositol > PI (44:12),Phosphatidylinositol,PI (44:12),0.96781301,0.99996465,1.005626879,3.126378233,3.205907793,3.188112568,3.140859892,3.184963873,3.130828931,3.157366125,3.20037988,3.136606462,3.150971259,3.154326603,3.136105179,3.142514633,3.155670011,3.160996478,3.149496266,3.140878732,3.150553855,3.150400293,3.138024688,3.173145494,3.136206748,3.146537352,3.141907375,3.136841041,3.148960336,3.135857491,3.157571627,3.134585097,3.173349496,3.145737024,3.137664244,3.147719628,3.125201435
Phosphatidylinositol > PI (44:2),Phosphatidylinositol,PI (44:2),0.97296548,0.999487895,1.032992006,3.149003481,3.168768497,3.161427931,3.157426577,3.146909095,3.152777448,3.14392621,3.148590346,3.129850979,3.146989593,3.143907499,3.1440322,3.145469922,3.162211838,3.143121048,3.149877783,3.151627254,3.144879229,3.129818773,3.166749751,3.153699071,3.12976724,3.14990854,3.14680999,3.176906998,3.144250339,3.138959204,3.119427491,3.15479514,3.184271158,3.148590345,3.153942879,3.132778261,3.169603936
Phosphatidylinositol > PI (44:3),Phosphatidylinositol,PI (44:3),1.038589584,1.0013094,1.007264172,3.12430206,3.160642606,3.141035696,3.114217234,3.15455789,3.137891926,3.163525154,3.13986653,3.199179056,3.131548122,3.142201721,3.146983401,3.140822211,3.160732603,3.138763627,3.148750713,3.144468376,3.147206259,3.148257085,3.149570131,3.150713501,3.131791864,3.171480754,3.145606601,3.168073029,3.12117235,3.140420074,3.145121824,3.138454313,3.148682874,3.151670138,3.129354728,3.166495271,3.15962737
Phosphatidylinositol > PI (44:4),Phosphatidylinositol,PI (44:4),0.990856447,1.011358958,1.010793705,3.124953964,3.136993135,3.19833265,3.155924851,3.164953345,3.144574237,3.139570597,3.160726603,3.161613569,3.155645733,3.154283983,3.155147734,3.172211687,3.132112371,3.163870728,3.131560959,3.159621356,3.163167371,3.172205845,3.122923314,3.150388005,3.161433923,3.152471837,3.132784655,3.169003994,3.143239729,3.153479521,3.156633976,3.162229778,3.140231444,3.149317692,3.144337568,3.162839144,3.159428854
Phosphatidylinositol > PI (44:5),Phosphatidylinositol,PI (44:5),0.997260213,0.990346972,1.017828331,3.163823079,3.156857986,3.146902898,3.131926502,3.152960707,3.122707285,3.159609327,3.183264179,3.137138839,3.142220503,3.174792255,3.14685335,3.177421089,3.158012534,3.132029061,3.136860056,3.133526167,3.164168422,3.143895025,3.138466936,3.18570647,3.125461776,3.146214915,3.148682876,3.14924994,3.136168663,3.144412322,3.148528652,3.146369963,3.149754751,3.152673563,3.156106786,3.153656385,3.143707899
Phosphatidylinositol > PI (44:6),Phosphatidylinositol,PI (44:6),1.03972255,0.976009652,1.01889835,3.148003883,3.132394218,3.137297164,3.15793405,3.154022086,3.142458326,3.187515111,3.1705023,3.161224241,3.151130754,3.152636895,3.165137477,3.151988547,3.176791387,3.132458244,3.152068117,3.133570872,3.162247712,3.151363753,3.155117346,3.136238487,3.119480268,3.156094662,3.132285342,3.136872737,3.156870087,3.148935682,3.141876052,3.173937647,3.144630272,3.154235274,3.144692525,3.142270578,3.143633024
Phosphatidylinositol > PI (44:7),Phosphatidylinositol,PI (44:7),1.027883776,1.009520325,0.949618327,3.137031148,3.150271265,3.156640026,3.12786256,3.148664373,3.143851372,3.137512384,3.160660605,3.165873229,3.169827235,3.175685759,3.167524123,3.160366501,3.19525745,3.135622382,3.149779363,3.175233435,3.146258334,3.193992351,3.175627792,3.158193597,3.149687067,3.150400296,3.206712594,3.166027339,3.146723261,3.193208141,3.149994636,3.144418548,3.167045479,3.161044436,3.113816415,3.117953726,3.158169461
Phosphatidylinositol > PI (44:8),Phosphatidylinositol,PI (44:8),0.991323749,1.02973972,1.037942408,3.136663535,3.156773236,3.168839159,3.158211699,3.134151628,3.138586903,3.1589171,3.160450553,3.13563509,3.140916408,3.133756034,3.137240174,3.139224032,3.177888439,3.134374792,3.177859606,3.175987049,3.158018573,3.165392753,3.165920654,3.154363134,3.148670538,3.141650445,3.166903558,3.153741746,3.119579211,3.143320918,3.134024053,3.17650801,3.167966842,3.154290071,3.145544478,3.126228878,3.168214571
Phosphatidylinositol > PIo (16:0),Phosphatidylinositol,PIo (16:0),0.986045398,1.011671827,1.010049275,3.183958505,3.144549333,3.184134753,3.13503086,3.216097286,3.151020347,3.183554563,3.195888619,3.152722449,3.153753941,3.176548507,3.175987048,3.187148341,3.14139963,3.173809606,3.151927335,3.184901463,3.165784288,3.190634229,3.122838227,3.173471852,3.188562935,3.173489329,3.159133919,3.162068327,3.131644355,3.175041924,3.147595977,3.165813939,3.182916602,3.161284164,3.154344871,3.157021376,3.136359065
Phosphatidylinositol > PIo (18:0),Phosphatidylinositol,PIo (18:0),1.006649466,0.971726771,1.018292152,3.121172351,3.153723456,3.176108661,3.157626009,3.140350917,3.147663994,3.156046148,3.17167384,3.143645504,3.143926206,3.135832081,3.19960164,3.17065478,3.141731926,3.159091766,3.190634233,3.123400814,3.16675567,3.139639874,3.160588599,3.179149512,3.146555946,3.18958017,3.110986819,3.173442719,3.116408512,3.171995461,3.18740793,3.145295905,3.183895945,3.171720633,3.138915049,3.154612651,3.188422244
Phosphatidylinositol > PIo (20:5),Phosphatidylinositol,PIo (20:5),1.126602573,1.021667205,1.035124848,3.275748916,3.266076429,3.247644384,3.302374254,3.268788544,3.314528725,3.313631066,3.31276536,3.287891294,3.384783402,3.346575962,3.40559566,3.351080943,3.30422766,3.361897775,3.228805749,3.29470869,3.262821179,3.439847255,3.352093754,3.384894408,3.308453456,3.371850765,3.368562099,3.293592378,3.407601653,3.302205374,3.184509756,3.391115173,3.405667339,3.316867415,3.328697596,3.33413196,3.241028238
Phosphatidylinositol > PIo (28:0),Phosphatidylinositol,PIo (28:0),1.012693946,0.997060925,0.962847886,3.139942055,3.166808913,3.151768133,3.102083692,3.180424131,3.121454818,3.156942718,3.182545922,3.164549168,3.143988556,3.135520672,3.130353097,3.157027426,3.143239731,3.152801882,3.153948973,3.117384029,3.176941676,3.145190218,3.132099557,3.149656297,3.133602801,3.144549336,3.145488561,3.162415067,3.131971374,3.162839146,3.149336172,3.142545915,3.14866437,3.140382354,3.13563509,3.111054083,3.100866627
Phosphatidylinositol > PIo (30:0),Phosphatidylinositol,PIo (30:0),0.990730675,1.005591479,1.00145167,3.148318821,3.153918508,3.136948779,3.131907276,3.152251672,3.120830514,3.134648802,3.154076918,3.137544026,3.154509211,3.144835669,3.156246222,3.108165752,3.148102713,3.129973343,3.147113418,3.12665734,3.181369065,3.129722141,3.151982426,3.141399629,3.107332125,3.131073079,3.129799446,3.139104252,3.143464518,3.140049026,3.1073864,3.142908588,3.124302063,3.148324994,3.131227205,3.126436672,3.103413736
Phosphatidylinositol > PIo (30:1),Phosphatidylinositol,PIo (30:1),0.990489743,0.974247313,1.01163864,3.144748544,3.130134301,3.143564382,3.141092191,3.152783557,3.10527853,3.158042716,3.15119208,3.142739796,3.132118776,3.144144401,3.143901259,3.139973518,3.142439554,3.181185965,3.149711681,3.146617924,3.124784565,3.159206163,3.126371745,3.150369577,3.117205019,3.110751307,3.162719727,3.144225414,3.10870033,3.148374376,3.11193431,3.15075647,3.126092457,3.145538268,3.125780485,3.125090746,3.129361178
Phosphatidylinositol > PIo (32:0),Phosphatidylinositol,PIo (32:0),0.954843802,0.968685316,1.019638847,3.150006935,3.141951224,3.141067081,3.124765015,3.188287141,3.119691315,3.1230869,3.130385269,3.137005806,3.13671426,3.127525956,3.137012144,3.164745356,3.122707288,3.129303137,3.139110558,3.114337409,3.124927911,3.117430431,3.118039779,3.141775795,3.112953402,3.14675424,3.137531366,3.142264323,3.127260371,3.113060533,3.132944571,3.133526166,3.119163506,3.135965474,3.139482404,3.164305292,3.140702864
"Phosphatidylinositol > PIo (32:1), PIp (32:0)",Phosphatidylinositol,"PIo (32:1), PIp (32:0)",0.979906365,1.001651302,0.998691766,3.153589308,3.141142398,3.152783556,3.142314395,3.159561205,3.157136321,3.127765491,3.159555198,3.137316154,3.121645217,3.158814678,3.145463707,3.129438554,3.179241499,3.118800265,3.140137099,3.128631894,3.133692192,3.146580738,3.143177271,3.194808429,3.117615973,3.117814684,3.145972936,3.153149993,3.123538082,3.136320991,3.159085745,3.124517298,3.1533453,3.151130755,3.137657914,3.119645162,3.129902505
Phosphatidylinositol > PIo (34:0),Phosphatidylinositol,PIo (34:0),1.034754243,0.98292139,0.963002913,3.139646171,3.153424619,3.135736776,3.12865773,3.10931529,3.131708496,3.149126732,3.167701269,3.139072721,3.152490184,3.128444536,3.166134,3.168532867,3.136479607,3.151774259,3.152465729,3.120047225,3.148411405,3.162689867,3.152270027,3.143476999,3.123688373,3.161110375,3.153888033,3.17343107,3.123518475,3.129818774,3.149194502,3.123799428,3.125416228,3.156524953,3.142520891,3.097305939,3.12908381
"Phosphatidylinositol > PIo (34:1), PIp (34:0)",Phosphatidylinositol,"PIo (34:1), PIp (34:0)",1.018951767,1.022931177,1.007529004,3.125572376,3.154667407,3.156736909,3.171000593,3.135215395,3.140344632,3.153979436,3.162594307,3.173361147,3.152270025,3.125455271,3.143589344,3.147472297,3.136054382,3.129109615,3.151486329,3.152367883,3.147045321,3.158664014,3.125624414,3.184572228,3.112424039,3.143395843,3.119500059,3.153875845,3.160300454,3.122261797,3.192031949,3.151792628,3.154259628,3.185241786,3.121513915,3.136130573,3.145532056
"Phosphatidylinositol > PIo (34:3), PIp (34:2)",Phosphatidylinositol,"PIo (34:3), PIp (34:2)",1.005643821,1.042486462,1.021563525,3.166749753,3.153997717,3.130327366,3.145749443,3.116740565,3.128270024,3.114484241,3.158995408,3.16155968,3.160624602,3.127597182,3.154357044,3.132323775,3.140577203,3.131150151,3.110374225,3.147942102,3.162343348,3.140520644,3.160894543,3.14707008,3.136999475,3.124582502,3.145712185,3.11075804,3.155123425,3.150166782,3.130230843,3.137461756,3.149834728,3.142864831,3.157613925,3.139337485,3.129348281
"Phosphatidylinositol > PIo (34:4), PIp (34:3)",Phosphatidylinositol,"PIo (34:4), PIp (34:3)",0.989418992,0.99271551,1.026586151,3.110616674,3.184822015,3.122792399,3.142977338,3.149773208,3.125377184,3.125468284,3.135113594,3.123237347,3.17746727,3.12690384,3.160522581,3.148189169,3.135368064,3.148984994,3.125116787,3.139236642,3.151621129,3.125207944,3.13525357,3.147997704,3.117927246,3.147558879,3.15515989,3.154204821,3.127389947,3.108510932,3.139595787,3.160318472,3.207418949,3.122550105,3.127215011,3.124510778,3.137942506
Phosphatidylinositol > PIo (36:0),Phosphatidylinositol,PIo (36:0),0.996472717,1.015298018,0.969253837,3.16865659,3.136822031,3.175163804,3.182134955,3.12365571,3.131849574,3.142101541,3.157166567,3.127506526,3.215441944,3.13456598,3.14772581,3.15999409,3.144337571,3.118297835,3.109200477,3.145190218,3.144568012,3.129741468,3.143820186,3.154582233,3.127480624,3.139520206,3.132803846,3.147948285,3.153101154,3.152049755,3.113876565,3.105857511,3.109403066,3.135221762,3.156603694,3.105762204,3.126261354
"Phosphatidylinositol > PIo (36:1), PIp (36:0)",Phosphatidylinositol,"PIo (36:1), PIp (36:0)",0.982304475,1.005630398,1.032636425,3.20374527,3.198387662,3.213894811,3.145351847,3.157728714,3.185893328,3.201899445,3.178942464,3.175685757,3.137436435,3.153113361,3.166228791,3.154484865,3.195251908,3.175453859,3.154746486,3.15138214,3.166430144,3.194109027,3.181529212,3.149342332,3.160474566,3.176635265,3.153247659,3.202384803,3.147626895,3.163292627,3.198123539,3.208849688,3.178505036,3.146816186,3.216250409,3.179264491,3.17750767
"Phosphatidylinositol > PIo (36:2), PIp (36:1)",Phosphatidylinositol,"PIo (36:2), PIp (36:1)",1.013623715,0.948818165,0.961915909,3.155924849,3.205696896,3.143108555,3.163858819,3.174896785,3.129270888,3.170760313,3.234451511,3.186063139,3.148145946,3.194414457,3.192595363,3.170044545,3.191903549,3.145910866,3.164965226,3.169139346,3.144661397,3.195002511,3.148781551,3.131977784,3.12230767,3.155086957,3.181632135,3.180223425,3.140916407,3.16415652,3.148034768,3.123256968,3.121172351,3.141844723,3.183890259,3.14942854,3.131246468
