class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Cer > Cer(d18:0/16:0),Cer,Cer(d18:0/16:0),0.998832543,1.02755473,1.02746445,3.624500767,3.6104153,3.626344501,3.62725525,3.608033724,3.632054221,3.635827458,3.648621517,3.632894433,3.581515066,3.584988982,3.558864534,3.598604527,3.584625209,3.594648884,3.567964589,3.638235626,3.604703329,3.517852812,3.586926988,3.609173812,3.5999813,3.594147185,3.604385944,3.6447064,3.554571559,3.580233686,3.481537247,3.614585117,3.537791427,3.590661336,3.526303115,3.589610106,3.660727044
Cer > Cer(d18:0/18:0(2OH)),Cer,Cer(d18:0/18:0(2OH)),1.015687429,1.009279274,1.061338816,3.477404933,3.4617566,3.431563205,3.456566461,3.515333321,3.457270154,3.477581392,3.484638635,3.481525783,3.516923918,3.507572576,3.433302526,3.441500357,3.409172047,3.485991036,3.484143213,3.470110498,3.498867228,3.468249852,3.440020733,3.467051412,3.445837665,3.462568718,3.437680847,3.48814446,3.454262395,3.431450646,3.459259797,3.541564299,3.480886175,3.437611091,3.490312544,3.445694511,3.479742287
Cer > Cer(d18:0/18:0),Cer,Cer(d18:0/18:0),1.015489814,1.104757502,1.109889262,3.576064817,3.515184812,3.538523497,3.518884938,3.49450526,3.561418666,3.549417761,3.549567267,3.524845147,3.533502638,3.492111984,3.580813285,3.532805351,3.498473241,3.491442973,3.507394383,3.566520012,3.517143123,3.556210838,3.606514674,3.570272034,3.552249563,3.53699003,3.491300078,3.513270915,3.491742617,3.512161252,3.508575532,3.544385614,3.514409639,3.56716055,3.57232319,3.610598451,3.506396816
Cer > Cer(d18:0/20:0(2OH)),Cer,Cer(d18:0/20:0(2OH)),0.972430147,0.980722737,1.055921723,3.491723017,3.455819055,3.490952455,3.443535249,3.489860118,3.450713987,3.453562972,3.473419846,3.505388804,3.468084341,3.464161571,3.44237631,3.457993893,3.500628892,3.609611513,3.468967336,3.478427991,3.472952381,3.495660904,3.501059295,3.468060693,3.495133467,3.465668352,3.448740351,3.445856331,3.456028822,3.457027631,3.443675989,3.442946768,3.458399143,3.450486242,3.521237521,3.469580542,3.502470852
Cer > Cer(d18:0/20:0),Cer,Cer(d18:0/20:0),1.042340982,1.251347422,1.128892403,3.768167331,3.772069303,3.803791617,3.793967731,3.844366599,3.81141684,3.846619157,3.818732524,3.762650094,3.868201134,3.738309584,3.928410222,3.836983319,3.755528838,3.864235737,3.766314703,4.031208874,3.777000327,3.937289185,3.936876539,3.983785032,3.791120599,3.763264759,3.729945201,3.753844965,3.941269903,3.885096519,3.696810572,3.847018363,3.720620683,3.844611389,3.916470824,3.888473821,3.886151082
Cer > Cer(d18:0/22:0(2OH)),Cer,Cer(d18:0/22:0(2OH)),1.005907536,0.979087202,1.027554456,3.44968203,3.389467358,3.468048865,3.427541317,3.454954594,3.479966707,3.417926539,3.408582547,3.482879331,3.451436432,3.450784748,3.442257106,3.432825069,3.439361148,3.458426348,3.456229378,3.436903367,3.40022017,3.443976084,3.420563036,3.479036639,3.44167632,3.457766909,3.431817159,3.409033217,3.457476192,3.430349258,3.409885835,3.429115738,3.428691922,3.433148769,3.431148204,3.501308565,3.434115241
Cer > Cer(d18:0/22:0),Cer,Cer(d18:0/22:0),1.004720693,1.236620978,1.167903331,3.712585759,3.69108683,3.749570939,3.709375161,3.766359334,3.688069071,3.742703174,3.809656688,3.686067591,3.743712,3.642960888,3.794777975,3.775831757,3.733497427,3.746394445,3.672784825,3.898982864,3.747941367,3.871081187,3.822866082,3.891413703,3.674034032,3.678953397,3.646887777,3.761511408,3.808193443,3.825458606,3.665139937,3.760779755,3.660626481,3.741414806,3.912275239,3.886914687,3.806237003
Cer > Cer(d18:0/24:0),Cer,Cer(d18:0/24:0),0.959087991,0.983989212,0.968386817,3.694419189,3.661445446,3.650608637,3.630265139,3.698985669,3.683084911,3.631301717,3.705877425,3.635907812,3.627308522,3.678886086,3.58623616,3.64159311,3.577689401,3.579984731,3.677188915,3.626280843,3.592631947,3.633632076,3.602869225,3.611697856,3.644052409,3.638884468,3.647273435,3.621940332,3.658881052,3.63671254,3.723086108,3.632597005,3.737540926,3.56884685,3.607838781,3.614912007,3.658846755
Cer > Cer(d18:0/26:0),Cer,Cer(d18:0/26:0),0.965539986,1.078115306,0.850998056,3.567534542,3.523233885,3.602704473,3.497949212,3.485065265,3.524349409,3.534746822,3.543201104,3.546710458,3.500450579,3.542979735,3.642731578,3.552750961,3.532463932,3.5415643,3.546167458,3.607834493,3.548278867,3.567790738,3.657673406,3.636281261,3.540084128,3.590023311,3.620739722,3.597581144,3.73266554,3.725828388,3.534810207,3.507723705,3.547178863,3.519103162,3.647361481,3.655265277,3.504566037
Cer > Cer(d18:0/h24:0),Cer,Cer(d18:0/h24:0),0.976061002,1.012787323,1.023501173,3.452151549,3.469607055,3.433347362,3.454887561,3.46159159,3.482865042,3.459187386,3.435990835,3.419119413,3.459410616,3.486121508,3.429034891,3.435898522,3.429726477,3.432510745,3.411676964,3.473253365,3.41404701,3.450769366,3.465400729,3.451285895,3.405773131,3.458843271,3.421027809,3.477801151,3.460263251,3.45355075,3.407900572,3.480400825,3.485942806,3.455195235,3.416280972,3.410304765,3.476066117
