class and lipid,type,lipid,fold change_1hr,fold change_12hr,fold change_24hr,veh_N3_1hr,veh_N4_1hr,veh_N5_1hr,veh_N6_1hr,veh_N7_1hr,Abe_N3_1hr,Abe_N4_1hr,Abe_N5_1hr,Abe_N6_1hr,Abe_N7_1hr,veh_N1_12hr,veh_N2_12hr,veh_N3_12hr,veh_N4_12hr,veh_N5_12hr,veh_N6_12hr,Abe_N4_12hr,Abe_N1_12hr,Abe_N2_12hr,Abe_N3_12hr,Abe_N5_12hr,Abe_N6_12hr,veh_N2_24hr,veh_N3_24hr,veh_N4_24hr,veh_N5_24hr,veh_N6_24hr,veh_N7_24hr,Abe_N2_24hr,Abe_N3_24hr,Abe_N4_24hr,Abe_N5_24hr,Abe_N6_24hr,Abe_N7_24hr
Phosphatidylethanolamine > PE (34:0),Phosphatidylethanolamine,PE (34:0),1.014704681,0.937868164,0.947819431,3.1627675,3.128438072,3.134189895,3.099942965,3.122320783,3.13337924,3.130918897,3.16778391,3.148182991,3.140130808,3.17382125,3.164983047,3.148787715,3.097992693,3.170126743,3.182077846,3.123270046,3.144468377,3.122124125,3.146958634,3.116899865,3.121067198,3.197291619,3.199426072,3.142702272,3.147497035,3.194647555,3.117668966,3.149877784,3.151608876,3.142264324,3.143046079,3.146196307,3.124191136
Phosphatidylethanolamine > PE (34:1),Phosphatidylethanolamine,PE (34:1),1.046501431,1.138354942,1.010854666,3.20556706,3.170420173,3.128948283,3.169921217,3.191769523,3.169133464,3.202820618,3.194863884,3.258594223,3.177790396,3.220662406,3.195772419,3.232477723,3.177853841,3.233295727,3.163864775,3.302651257,3.292486482,3.137392128,3.262583998,3.317403071,3.236552406,3.213586843,3.154241358,3.190628628,3.236476829,3.29649849,3.24072396,3.259101525,3.126832497,3.234137518,3.258599006,3.324985841,3.136276565
Phosphatidylethanolamine > PE (34:2),Phosphatidylethanolamine,PE (34:2),0.986715228,0.96461736,1.00873444,3.170132611,3.140533218,3.144773439,3.122078225,3.123766766,3.133417576,3.126618404,3.152257786,3.157033479,3.143551901,3.174559875,3.22256044,3.143133543,3.136308298,3.172964722,3.147181507,3.147781438,3.21223026,3.130391701,3.144399859,3.152263907,3.115144379,3.145743235,3.120172384,3.148170642,3.133066065,3.215901846,3.132707882,3.150369578,3.113268032,3.148948012,3.188922896,3.166536707,3.146264537
Phosphatidylethanolamine > PE (34:3),Phosphatidylethanolamine,PE (34:3),0.955863315,0.988578968,1.004954847,3.225314484,3.213448722,3.151559863,3.236945203,3.180475722,3.187622262,3.164192229,3.216308474,3.1879661,3.196822615,3.196364158,3.231138172,3.202580971,3.16145788,3.261105818,3.163394003,3.192227271,3.216593417,3.159356644,3.220939288,3.174024934,3.224973119,3.130301627,3.165119663,3.223215525,3.168114317,3.249995294,3.159157999,3.188180149,3.169086389,3.185321163,3.199376681,3.219437847,3.149034296
Phosphatidylethanolamine > PE (34:4),Phosphatidylethanolamine,PE (34:4),1.095531789,1.108833975,1.027791446,3.91328181,3.820210685,3.830192072,3.963417604,3.779060904,3.872158635,3.872800571,3.912031745,3.942512065,3.960328078,3.842770227,3.89260769,3.890837818,3.933823285,3.937314264,3.871843735,3.973131585,3.827122364,3.833014473,4.05307233,4.098594611,3.777874697,3.920851444,3.914966944,3.919610464,3.946164307,4.084980748,3.9253637,3.809803419,3.911454883,4.014486124,4.045737542,4.077696345,3.885400834
Phosphatidylethanolamine > PE (34:5),Phosphatidylethanolamine,PE (34:5),1.148962439,1.048080903,1.008777911,3.397272449,3.274688869,3.269400886,3.396628229,3.316779466,3.398353296,3.424734702,3.375656329,3.392876288,3.41770749,3.395756136,3.409337915,3.344219343,3.329165955,3.433766664,3.318768524,3.399223654,3.369979869,3.283305786,3.452666436,3.513004423,3.312947092,3.356603285,3.367270202,3.408816413,3.409615344,3.47337312,3.369820506,3.289325828,3.402443692,3.461624592,3.40617218,3.513973654,3.295061071
Phosphatidylethanolamine > PE (34:6),Phosphatidylethanolamine,PE (34:6),0.947231008,1.017850031,0.937190372,3.148121241,3.158923125,3.107345696,3.112785951,3.149490109,3.132720671,3.12838637,3.112323453,3.110731119,3.116919767,3.108477104,3.118324291,3.134515003,3.111659008,3.178614435,3.145575538,3.144406092,3.154186554,3.128121314,3.126105453,3.154277897,3.140004984,3.160870555,3.161787149,3.144848114,3.161284162,3.096256373,3.144835668,3.097389241,3.108267302,3.114430856,3.132675882,3.102865756,3.139488708
Phosphatidylethanolamine > PE (36:0),Phosphatidylethanolamine,PE (36:0),1.044726523,1.07973565,0.974221076,3.128722313,3.142145374,3.276925753,3.195124452,3.126254854,3.174054021,3.214573681,3.212938346,3.223931863,3.195069029,3.240374527,3.220641505,3.152166028,3.13601628,3.224196305,3.180779439,3.262137748,3.256929339,3.184901463,3.245127584,3.268264339,3.134801665,3.161960666,3.243430006,3.226388536,3.27348744,3.197451513,3.114684393,3.233295724,3.115723677,3.172147415,3.242322769,3.229179984,3.156603695
Phosphatidylethanolamine > PE (36:1),Phosphatidylethanolamine,PE (36:1),1.011709216,1.020612362,0.9306028,3.208575741,3.222180456,3.199014304,3.174920011,3.214822694,3.154478781,3.239794845,3.200204622,3.254697926,3.229722818,3.332810009,3.31894359,3.324566433,3.235382003,3.35691652,3.233980441,3.337311507,3.340190235,3.233427677,3.350480647,3.407295734,3.169257014,3.330373219,3.293504011,3.321453458,3.327224057,3.359266201,3.189956111,3.261034387,3.282182409,3.219301571,3.337567108,3.327583719,3.199941609
Phosphatidylethanolamine > PE (36:2),Phosphatidylethanolamine,PE (36:2),1.023259655,1.078992603,0.976930587,3.14954551,3.218525032,3.142914839,3.201555547,3.174298301,3.18175218,3.2091181,3.202052198,3.171609485,3.215098021,3.277049688,3.325462328,3.204277416,3.207629012,3.314238142,3.157722674,3.289432898,3.314781254,3.194658655,3.325408956,3.376872501,3.180320922,3.247570713,3.257659409,3.267504983,3.253827314,3.365259576,3.248198972,3.212145005,3.231688751,3.213485913,3.321167477,3.395871351,3.173500979
Phosphatidylethanolamine > PE (36:3),Phosphatidylethanolamine,PE (36:3),0.944584066,1.025659601,0.966394874,3.16902754,3.195772424,3.121835529,3.220149979,3.124014908,3.150074567,3.124112822,3.15302788,3.153875844,3.172486205,3.211969102,3.182334781,3.149914691,3.16428744,3.194170129,3.135113591,3.148170643,3.23650706,3.181552083,3.201872158,3.156730857,3.174676082,3.194880525,3.18431093,3.168473941,3.243519259,3.205415535,3.116587849,3.154673491,3.200204625,3.170191314,3.148121239,3.213076631,3.131593031
Phosphatidylethanolamine > PE (36:4),Phosphatidylethanolamine,PE (36:4),1.022716148,1.062548332,0.980719262,3.168491621,3.154685659,3.167069124,3.137322486,3.128463921,3.204662543,3.140332058,3.174362255,3.169962331,3.154387482,3.13801205,3.133264222,3.201020056,3.143483242,3.157154474,3.146915285,3.187419214,3.159903945,3.168650696,3.230750299,3.20504191,3.129838096,3.23179064,3.153564914,3.18795483,3.217031017,3.173203786,3.17152172,3.213140437,3.158700176,3.150062275,3.233813168,3.1655767,3.154776896
Phosphatidylethanolamine > PE (36:5),Phosphatidylethanolamine,PE (36:5),0.999903657,1.021231369,0.961320952,3.151026479,3.120718702,3.14120515,3.102817778,3.127487093,3.152520754,3.124510778,3.124197663,3.131477545,3.150486295,3.14151878,3.114897783,3.142089014,3.136910762,3.161769199,3.10721,3.158392682,3.159176061,3.148997318,3.134967205,3.145836369,3.113856517,3.143595583,3.110529136,3.189720484,3.166660996,3.154527467,3.118152284,3.15368078,3.116089497,3.115843434,3.146159085,3.131195102,3.112953399
Phosphatidylethanolamine > PE (36:6),Phosphatidylethanolamine,PE (36:6),1.012911444,1.009212173,0.959992899,3.129780127,3.137961474,3.108808517,3.115217669,3.135342619,3.151302449,3.142608463,3.159344604,3.112048401,3.128573759,3.139293368,3.125923502,3.128270026,3.151351491,3.131342764,3.100563553,3.132618282,3.156512837,3.105012623,3.126598941,3.169727355,3.111007002,3.193491952,3.098422227,3.125292574,3.174042385,3.123694905,3.119941805,3.138763627,3.103338428,3.131907271,3.149249942,3.109679802,3.093148448
Phosphatidylethanolamine > PE (36:7),Phosphatidylethanolamine,PE (36:7),0.965294151,0.959616231,1.003228751,3.172299315,3.112926615,3.178988483,3.128050172,3.164876105,3.136625489,3.127143719,3.16273764,3.146971023,3.149077437,3.143420815,3.152771332,3.169556916,3.143202257,3.200385355,3.178090228,3.159771689,3.109497586,3.150971263,3.154089102,3.149508576,3.158018571,3.188118199,3.142971084,3.132342983,3.166282099,3.157263336,3.127189088,3.179034495,3.141079634,3.131066655,3.182648603,3.154874194,3.126748174
Phosphatidylethanolamine > PE (36:8),Phosphatidylethanolamine,PE (36:8),1.055386895,0.974595639,0.929421402,3.112618436,3.145532056,3.091237752,3.131560957,3.141807123,3.134381162,3.158905053,3.155342142,3.202875065,3.127007587,3.182745555,3.138656339,3.150271266,3.165523308,3.148127416,3.171545123,3.156712691,3.136587433,3.146828576,3.177103465,3.152000788,3.123407353,3.183901637,3.176652614,3.165190925,3.16579615,3.180899718,3.185406179,3.193029968,3.166033268,3.128554379,3.131118037,3.121513916,3.114891115
Phosphatidylethanolamine > PE (38:0),Phosphatidylethanolamine,PE (38:0),0.953671979,0.97365187,1.038335309,3.451985919,3.439098931,3.443012541,3.423134447,3.46882866,3.440121634,3.423203295,3.446813594,3.421992014,3.431457075,3.458776831,3.443187892,3.453908242,3.4579364,3.474612518,3.450443142,3.411693797,3.477942771,3.441830225,3.436992293,3.446922239,3.450793973,3.45825402,3.404310226,3.418970481,3.427294593,3.406724109,3.425837371,3.44510895,3.449648104,3.425116708,3.425860176,3.441996632,3.444510114
Phosphatidylethanolamine > PE (38:1),Phosphatidylethanolamine,PE (38:1),0.886850633,1.006488976,0.955657678,3.173221275,3.191042828,3.18447,3.156742968,3.161230233,3.105244449,3.119783615,3.160894548,3.142063965,3.116806945,3.200861469,3.180154588,3.099811839,3.144356257,3.204402216,3.151345359,3.116455017,3.175163804,3.178458965,3.248051807,3.164204129,3.109072114,3.191428689,3.173524273,3.162946589,3.148349687,3.154880274,3.164804795,3.148781546,3.106503701,3.142170417,3.15698508,3.181689303,3.13476982
Phosphatidylethanolamine > PE (38:2),Phosphatidylethanolamine,PE (38:2),0.965064664,1.00394147,0.95466838,3.150172927,3.141129845,3.112196012,3.203767006,3.121297181,3.142589701,3.124562938,3.147156744,3.153997721,3.127247411,3.13748707,3.202084927,3.148806213,3.135279014,3.194458869,3.128496233,3.180510118,3.177542301,3.149403911,3.136669876,3.203114547,3.11153809,3.178055642,3.211270121,3.171474904,3.186532596,3.165630095,3.118383816,3.198002437,3.139929464,3.127046487,3.136009931,3.153320892,3.149527044
Phosphatidylethanolamine > PE (38:3),Phosphatidylethanolamine,PE (38:3),1.065883119,1.096513932,0.951708303,3.162654032,3.165748712,3.134527748,3.150645968,3.173617463,3.209783049,3.139463506,3.214616081,3.237101206,3.159434869,3.171767425,3.241108008,3.186034843,3.168149705,3.237071018,3.246602004,3.28518364,3.276057225,3.183958506,3.25616915,3.29023949,3.200773945,3.211019059,3.233772602,3.214197249,3.260042783,3.240469402,3.209407801,3.161864942,3.24988293,3.18470849,3.239334552,3.22755253,3.16221782
Phosphatidylethanolamine > PE (38:4),Phosphatidylethanolamine,PE (38:4),1.112400999,1.286712196,0.935072966,3.220333055,3.219815002,3.197313678,3.189439811,3.224248126,3.208855063,3.221012391,3.332196026,3.31246513,3.235190001,3.353635485,3.280286956,3.305772589,3.167039565,3.346747996,3.209289796,3.419450185,3.411939444,3.314162303,3.454387496,3.466315912,3.253430119,3.311847092,3.310153586,3.398172758,3.36144454,3.337395389,3.245714995,3.298551836,3.251866899,3.322591417,3.397978256,3.294126625,3.212927703
Phosphatidylethanolamine > PE (38:5),Phosphatidylethanolamine,PE (38:5),1.05440976,1.006586681,0.993224614,3.129019279,3.163578797,3.136872732,3.129793005,3.16902165,3.131740562,3.195268529,3.139960932,3.225975757,3.184946851,3.2693822,3.2980405,3.214812098,3.138555335,3.359410496,3.179615006,3.254277342,3.227907291,3.244450341,3.28202818,3.325560843,3.16472753,3.2435143,3.229896791,3.219464049,3.158519326,3.238236883,3.221586385,3.160894543,3.159855856,3.178314961,3.301811052,3.267931692,3.206707204
Phosphatidylethanolamine > PE (38:6),Phosphatidylethanolamine,PE (38:6),0.996221214,1.09939672,0.985519879,3.123943094,3.210612798,3.131599452,3.195451328,3.148053303,3.149563981,3.196596208,3.19705442,3.162181949,3.139809878,3.175262441,3.206572268,3.196480201,3.139683957,3.278666764,3.150154484,3.204987734,3.307401922,3.177974935,3.281206168,3.269835072,3.146816186,3.23184666,3.140199997,3.202286685,3.195251905,3.27200882,3.101252055,3.162450923,3.201091128,3.136549381,3.205610341,3.208892645,3.193002114
Phosphatidylethanolamine > PE (38:7),Phosphatidylethanolamine,PE (38:7),1.035238617,1.006739646,0.997007398,3.131573787,3.116660898,3.125383694,3.127299243,3.140262888,3.160984485,3.129644815,3.19481952,3.125968994,3.141142392,3.14671087,3.126903841,3.181912182,3.118463171,3.164899872,3.128896645,3.125110278,3.147391882,3.208801363,3.119427493,3.168208676,3.112390512,3.156948768,3.119130494,3.143608068,3.123838611,3.132330173,3.120231655,3.148719875,3.126105453,3.108903155,3.137746477,3.137866634,3.12167147
Phosphatidylethanolamine > PE (38:8),Phosphatidylethanolamine,PE (38:8),0.957433968,0.978140651,0.960508817,3.117629223,3.185474189,3.141073355,3.139432002,3.127966082,3.121605831,3.144617822,3.113816415,3.110367486,3.166838493,3.195595294,3.139236644,3.177155454,3.11330818,3.160192353,3.133519779,3.124888823,3.124556423,3.155967314,3.160354494,3.166258407,3.133577256,3.132080328,3.143389597,3.163346302,3.150615265,3.187605344,3.114050271,3.109173454,3.13275906,3.145780493,3.119790209,3.140218869,3.130880347
Phosphatidylethanolamine > PE (38:9),Phosphatidylethanolamine,PE (38:9),1.016976044,1.025309475,0.994762008,3.14181339,3.114891117,3.15977169,3.108612405,3.115404163,3.178222776,3.125194924,3.115976462,3.162564437,3.133985778,3.138384841,3.122844772,3.082699252,3.122661446,3.161882891,3.091301114,3.121612395,3.140042738,3.128069575,3.135698645,3.157656223,3.104712427,3.125689448,3.096075396,3.131432621,3.157251235,3.153699064,3.103454807,3.154703905,3.10281092,3.106088887,3.129799446,3.136847382,3.116720646
Phosphatidylethanolamine > PE (40:0),Phosphatidylethanolamine,PE (40:0),1.082101823,1.146472855,0.983358543,3.269718399,3.305901444,3.285368277,3.312291659,3.337387404,3.384238719,3.239869856,3.362150627,3.336911841,3.386627391,3.384245888,3.525254805,3.393192539,3.382866814,3.352691825,3.395018724,3.549008204,3.390055062,3.473224158,3.503793439,3.52141012,3.350829309,3.433027012,3.373011391,3.257409787,3.529912668,3.422927851,3.332127302,3.314035878,3.344207545,3.295325175,3.544043259,3.504049307,3.272013464
Phosphatidylethanolamine > PE (40:1),Phosphatidylethanolamine,PE (40:1),0.987935048,1.016339813,0.994672176,3.161200272,3.149145214,3.128476842,3.12765545,3.149613215,3.108815275,3.148960337,3.195833292,3.133902827,3.137904577,3.126222376,3.114924447,3.158651956,3.129689927,3.126696273,3.108009993,3.160402525,3.153705166,3.13247105,3.138555334,3.117794816,3.106143316,3.162355303,3.132240504,3.153204928,3.128657732,3.128993464,3.119862714,3.136885408,3.124334677,3.15245961,3.140570917,3.122215908,3.127927266
Phosphatidylethanolamine > PE (40:10),Phosphatidylethanolamine,PE (40:10),1.030139727,0.988604438,0.977467455,3.10521036,3.096409446,3.108334993,3.093393698,3.161721313,3.119757247,3.147552693,3.140004981,3.140237735,3.124608577,3.160846566,3.155299621,3.107325342,3.110744577,3.21195844,3.13420902,3.111880604,3.151884476,3.121021186,3.171065035,3.157958201,3.14048922,3.155657877,3.139375296,3.159495041,3.134776191,3.122641801,3.104241244,3.146902899,3.120902848,3.120850244,3.159272384,3.109430073,3.092116875
Phosphatidylethanolamine > PE (40:2),Phosphatidylethanolamine,PE (40:2),0.929803709,1.019123473,1.059452032,3.212698896,3.243544047,3.239249445,3.181643568,3.185519527,3.242864321,3.162946592,3.187785762,3.15639773,3.193603201,3.207408169,3.121809285,3.19143428,3.225149007,3.197804187,3.128896644,3.195772421,3.170508169,3.223599791,3.185468522,3.123727571,3.222529222,3.113996829,3.202243067,3.160582598,3.192489424,3.150271263,3.151179819,3.195340552,3.213124487,3.142427041,3.112115505,3.177703866,3.257851331
Phosphatidylethanolamine > PE (40:3),Phosphatidylethanolamine,PE (40:3),0.992771565,1.01493774,1.024239833,3.165796152,3.137176843,3.109139674,3.127661924,3.135971826,3.147348582,3.109186961,3.179063254,3.139400505,3.123688368,3.16968034,3.13203547,3.152013025,3.127266848,3.13699947,3.133551711,3.124536859,3.142157896,3.159645414,3.165291846,3.187176562,3.111202037,3.145513416,3.13224691,3.120994892,3.145009867,3.127940205,3.095078677,3.159368674,3.142389494,3.121428549,3.109619073,3.170936137,3.115736986
Phosphatidylethanolamine > PE (40:4),Phosphatidylethanolamine,PE (40:4),0.984972983,1.029143208,0.99576237,3.156591584,3.145482351,3.150246683,3.139129471,3.123270045,3.159158,3.118443332,3.164751299,3.145718392,3.132746271,3.132631083,3.172316839,3.120422589,3.180848176,3.158676069,3.140369777,3.187520751,3.189597007,3.156803504,3.166051045,3.138851965,3.142964837,3.201014592,3.119948397,3.163620514,3.173192134,3.16821457,3.156761127,3.139847648,3.178907944,3.144075836,3.202869616,3.147045318,3.150363435
Phosphatidylethanolamine > PE (40:5),Phosphatidylethanolamine,PE (40:5),1.015466147,1.034301985,0.9631797,3.14971168,3.185190754,3.123191565,3.163024178,3.180939801,3.157601843,3.179597777,3.20942925,3.176016007,3.153564914,3.222300204,3.309123225,3.182055002,3.21227822,3.355528176,3.180051317,3.276254979,3.248929163,3.264921693,3.334879821,3.276379102,3.162098232,3.213055359,3.281247083,3.224398407,3.203196155,3.24888999,3.135228115,3.190118734,3.13274627,3.172018843,3.31991352,3.198580145,3.1802521
Phosphatidylethanolamine > PE (40:6),Phosphatidylethanolamine,PE (40:6),1.022956923,1.126473647,0.935515258,3.1797069,3.112041695,3.203728975,3.163799254,3.16546397,3.15433269,3.150989667,3.165600435,3.241073108,3.199277879,3.222211702,3.238678288,3.166045119,3.172818888,3.314090663,3.160150303,3.220620599,3.292539632,3.240084784,3.350689873,3.305914332,3.172719693,3.262982389,3.23775986,3.15357711,3.21334244,3.296182401,3.264865054,3.172334363,3.178562619,3.236451635,3.246178433,3.252595805,3.16992122
Phosphatidylethanolamine > PE (40:7),Phosphatidylethanolamine,PE (40:7),1.039496718,1.058003994,0.957943082,3.14937312,3.125988492,3.120165798,3.119064474,3.105980026,3.135221761,3.122556661,3.139368994,3.159344608,3.18572912,3.161110374,3.138776247,3.141750726,3.153613702,3.168827383,3.127480622,3.151431174,3.208930234,3.179287489,3.170326296,3.189922458,3.136752296,3.185128375,3.148769216,3.128043709,3.21478032,3.114724409,3.144462149,3.162397139,3.092966169,3.130610374,3.155754975,3.180389734,3.098899759
Phosphatidylethanolamine > PE (40:8),Phosphatidylethanolamine,PE (40:8),0.98704073,1.030487646,0.972320956,3.122412524,3.13924925,3.11396343,3.101279578,3.133832629,3.113187718,3.129747912,3.142045179,3.12981233,3.107976127,3.158657985,3.098179805,3.141988811,3.131227202,3.111699308,3.112618436,3.120587121,3.154752565,3.126066466,3.135571526,3.166145851,3.132605484,3.154235271,3.1082673,3.151443429,3.164531326,3.128715858,3.141111016,3.119572614,3.126748177,3.144300189,3.122838222,3.138233239,3.117238173
Phosphatidylethanolamine > PE (40:9),Phosphatidylethanolamine,PE (40:9),0.974479183,0.986762089,1.015789029,3.167671753,3.156143168,3.147799984,3.126605431,3.113836464,3.123073818,3.121973289,3.123681839,3.147966821,3.177963403,3.131875218,3.15784951,3.138927662,3.098311421,3.163238946,3.117085632,3.113669356,3.139942053,3.12565693,3.105414832,3.150719637,3.137670565,3.15453964,3.126800069,3.102234726,3.112135632,3.117549713,3.111988002,3.136384445,3.101107559,3.124027964,3.141104739,3.145364276,3.112531303
Phosphatidylethanolamine > PE (42:0),Phosphatidylethanolamine,PE (42:0),1.009904901,1.003356975,1.012227002,3.125051668,3.151467946,3.117205018,3.10299597,3.145960524,3.123466188,3.158060825,3.145854994,3.158639898,3.118628442,3.180481455,3.115603887,3.124282485,3.116753844,3.16022839,3.136980461,3.147503222,3.131503211,3.146593134,3.13687273,3.136650854,3.146438164,3.194908249,3.112973491,3.130333802,3.143957379,3.124556421,3.122622149,3.152367889,3.129245093,3.136187706,3.121251199,3.150559997,3.165184983
Phosphatidylethanolamine > PE (42:1),Phosphatidylethanolamine,PE (42:1),0.998518909,0.959572033,0.970481002,3.126838986,3.131439038,3.134266408,3.120099927,3.124934425,3.154198738,3.110717655,3.148695211,3.12110006,3.138113175,3.15394288,3.172532909,3.12565693,3.135952773,3.151155286,3.105864319,3.112182598,3.123805953,3.145264821,3.141681786,3.118635054,3.097014259,3.140514359,3.128257096,3.225603913,3.126572978,3.128644809,3.169633327,3.125845499,3.160456556,3.136891747,3.123132695,3.15050472,3.144474604
Phosphatidylethanolamine > PE (42:10),Phosphatidylethanolamine,PE (42:10),1.0214524,0.96250503,0.97013385,3.143845132,3.144387406,3.146921481,3.113040446,3.124634656,3.16145189,3.143520691,3.16114634,3.175390063,3.116567933,3.151339233,3.136276565,3.16648343,3.186702152,3.154509211,3.124308583,3.130082804,3.139173605,3.125188416,3.123636107,3.143220996,3.160942516,3.180790897,3.14697721,3.157281476,3.154442264,3.13263108,3.115004436,3.113013667,3.139992396,3.139570599,3.127273326,3.132419829,3.147682537
Phosphatidylethanolamine > PE (42:11),Phosphatidylethanolamine,PE (42:11),0.960764986,0.971798332,1.00989998,3.154296162,3.159543164,3.161451887,3.110636868,3.145376705,3.147972995,3.131227205,3.149366958,3.140193711,3.11717849,3.192812716,3.135844788,3.156755074,3.174420389,3.14990239,3.154576147,3.138984432,3.181025693,3.133692192,3.146735653,3.16653671,3.124575977,3.139337484,3.119612183,3.165321533,3.165024635,3.156161356,3.114103704,3.157384253,3.139765811,3.175030317,3.139413102,3.127137239,3.138214284
Phosphatidylethanolamine > PE (42:2),Phosphatidylethanolamine,PE (42:2),1.014648329,0.98697398,0.985155019,3.457515575,3.450387723,3.433760268,3.443018803,3.43098402,3.469421427,3.452871612,3.482890757,3.439471677,3.441151369,3.444978028,3.426579604,3.436919251,3.448925759,3.469583488,3.454997248,3.440329667,3.459045548,3.448137223,3.425680946,3.44052185,3.434556164,3.444872009,3.41872215,3.4495062,3.448619792,3.457909166,3.432061321,3.423553899,3.428834318,3.432767351,3.441990355,3.446726656,3.431244749
Phosphatidylethanolamine > PE (42:3),Phosphatidylethanolamine,PE (42:3),1.005636743,1.029887032,0.989212075,3.167535936,3.153497822,3.132022649,3.136263872,3.168703713,3.230428514,3.115011105,3.17765194,3.125058181,3.153839276,3.181168793,3.163250881,3.143876317,3.128405759,3.177346032,3.196971649,3.148738381,3.203419147,3.214854471,3.177259413,3.163614549,3.157698509,3.153076732,3.156076472,3.13054607,3.155202416,3.178959723,3.159657442,3.128980553,3.136244833,3.159807765,3.167518219,3.164697806,3.141117293
Phosphatidylethanolamine > PE (42:4),Phosphatidylethanolamine,PE (42:4),1.031888238,1.015242035,0.966736958,3.138315365,3.155421098,3.129225743,3.141173777,3.140281753,3.173920192,3.174495948,3.144586691,3.163328409,3.155615385,3.170390843,3.158531383,3.130841789,3.118006681,3.135285372,3.147861779,3.162594305,3.165149357,3.130147172,3.15603402,3.161386003,3.127441766,3.141192599,3.147039128,3.164406424,3.166873983,3.123740634,3.122379766,3.111840323,3.16616955,3.13923034,3.118079488,3.118019924,3.114070312
Phosphatidylethanolamine > PE (42:5),Phosphatidylethanolamine,PE (42:5),1.02661094,1.100995755,0.995828322,3.140828488,3.148830877,3.139192516,3.111585119,3.121513915,3.131214367,3.14295859,3.192868433,3.13896551,3.151136889,3.122674541,3.117847789,3.122831679,3.126618404,3.156021894,3.110751309,3.173570872,3.174867752,3.205464245,3.174914205,3.137050156,3.138927662,3.170261747,3.120337007,3.12113949,3.163256841,3.137347809,3.136828364,3.128386373,3.140470361,3.1399924,3.148997316,3.144001027,3.130436728
Phosphatidylethanolamine > PE (42:6),Phosphatidylethanolamine,PE (42:6),1.035182555,1.017946714,0.978487813,3.172106511,3.164965228,3.142577199,3.14500365,3.125520331,3.148158291,3.179873402,3.18801117,3.207488981,3.139583195,3.17590016,3.145364276,3.124171562,3.118449947,3.160228388,3.139148386,3.13261828,3.200954437,3.159615342,3.145730814,3.168703707,3.097999622,3.16037851,3.112986878,3.166139925,3.122628705,3.132778255,3.143732853,3.130616803,3.126735198,3.118628448,3.153613701,3.127007587,3.120211902
Phosphatidylethanolamine > PE (42:7),Phosphatidylethanolamine,PE (42:7),1.010240881,1.011409793,1.007688807,3.13190727,3.120165798,3.158024609,3.164370732,3.118172129,3.15551218,3.119249319,3.154758649,3.164037461,3.160984487,3.125682946,3.136320987,3.132125182,3.103803751,3.175714741,3.138410104,3.146066019,3.140589772,3.146140475,3.136187705,3.164727529,3.11071092,3.133034099,3.141073357,3.147824702,3.113134175,3.130751807,3.121481082,3.129625486,3.107596626,3.162851084,3.124921395,3.139324879,3.13494811
Phosphatidylethanolamine > PE (42:8),Phosphatidylethanolamine,PE (42:8),0.940950284,1.035398918,1.012175267,3.146400966,3.195185418,3.170596141,3.109956355,3.182580151,3.154350956,3.131047387,3.152887413,3.132035467,3.147762897,3.131535291,3.140281753,3.1338773,3.115896648,3.196513351,3.121901136,3.190208433,3.150909909,3.181717884,3.143870073,3.135666868,3.12916123,3.13646692,3.109186964,3.134718871,3.13351339,3.12958037,3.125617907,3.125955993,3.142908589,3.112216135,3.148090359,3.125312099,3.137018479
Phosphatidylethanolamine > PE (42:9),Phosphatidylethanolamine,PE (42:9),0.995128749,1.011218358,0.965230581,3.13001198,3.131997017,3.12939342,3.114997769,3.149410066,3.151210475,3.115230993,3.125253517,3.147150555,3.145966726,3.142558428,3.130828933,3.122982214,3.149607065,3.158585643,3.114444202,3.129490128,3.145532054,3.156203787,3.147360953,3.134126117,3.135698644,3.160978492,3.157293568,3.161954679,3.129657701,3.166844405,3.127169642,3.1405395,3.127519479,3.122517352,3.146289346,3.141054528,3.127383468
Phosphatidylethanolamine > PE (44:0),Phosphatidylethanolamine,PE (44:0),0.972842911,1.023533215,0.999773367,3.128211837,3.144754767,3.141380812,3.138346944,3.154204822,3.153631997,3.129503017,3.136320989,3.135940071,3.131625108,3.128088976,3.137493396,3.1402566,3.135959123,3.14073428,3.142089014,3.166501187,3.138795178,3.145513418,3.148164464,3.148176818,3.139860234,3.133264226,3.117887525,3.123609962,3.156494665,3.127668396,3.138378525,3.175732123,3.107271067,3.121297187,3.126942748,3.127830207,3.128864367
Phosphatidylethanolamine > PE (44:1),Phosphatidylethanolamine,PE (44:1),0.976891935,1.023170113,1.008004816,3.122825128,3.129863859,3.166649162,3.123204644,3.147138177,3.130102108,3.142589702,3.110084453,3.136359066,3.159127896,3.147818521,3.128192445,3.118734184,3.136162312,3.154168286,3.120146033,3.131631526,3.187881573,3.145308332,3.12726685,3.155791385,3.114330733,3.130063486,3.108172519,3.115184359,3.139627277,3.161960667,3.135971826,3.137967797,3.104480312,3.126547021,3.173786321,3.147867961,3.11399683
