Lipid name,MRM,Ab-medium_12h_N1_acy-carnitines,Ab-medium_12h_N2_acy-carnitines,Ab-medium_12h_N3_acy-carnitines,Ab-medium_12h_N4_acy-carnitines,Ab-medium_12h_N5_acy-carnitines,Ab-medium_12h_N6_acy-carnitines,Ab-medium_1h_N3_acy-carnitines,Ab-medium_1h_N4_acy-carnitines,Ab-medium_1h_N5_acy-carnitines,Ab-medium_1h_N6_acy-carnitines,Ab-medium_1h_N7_acy-carnitines,Ab-medium_24h_N2_acy-carnitines,Ab-medium_24h_N3_acy-carnitines,Ab-medium_24h_N4_acy-carnitines,Ab-medium_24h_N5_acy-carnitines,Ab-medium_24h_N6_acy-carnitines,Ab-medium_24h_N7_acy-carnitines,Blank_acy-carnitines,Veh-medium_12h_N1_acy-carnitines,Veh-medium_12h_N2_acy-carnitines,Veh-medium_12h_N3_acy-carnitines,Veh-medium_12h_N4_acy-carnitines,Veh-medium_12h_N5_acy-carnitines,Veh-medium_12h_N6_acy-carnitines,Veh-medium_1h_N3_acy-carnitines,Veh-medium_1h_N4_acy-carnitines,Veh-medium_1h_N5_acy-carnitines,Veh-medium_1h_N6_acy-carnitines,Veh-medium_1h_N7_acy-carnitines,Veh-medium_24h_N2_acy-carnitines,Veh-medium_24h_N3_acy-carnitines,Veh-medium_24h_N4_acy-carnitines,Veh-medium_24h_N5_acy-carnitines,Veh-medium_24h_N6_acy-carnitines,Veh-medium_24h_N7_acy-carnitines,control_medium_acy-carnitines
,412.3 -> 350.296,3411.020252,3717.020245,3375.680241,3648.280258,3446.960258,3463.680248,3354.560249,3547.18026,3810.980282,3403.900242,3394.500244,3751.420254,3294.300228,3315.980247,3270.760235,3367.540249,3335.620239,3213.980225,3545.320267,3268.960224,3520.500256,3378.32024,3290.620228,3385.760231,3721.620266,3785.86026,3605.720253,3523.400265,3333.680244,3450.72023,3987.060265,3295.38023,3556.680271,3565.160259,3249.760227,3398.460213
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,56829.64392,73568.42532,78804.68524,78564.98535,80902.36555,45361.16322,48912.24388,46955.94323,47994.54329,40508.10278,39685.98282,45799.6434,29389.70188,50665.96339,43984.68282,33350.52223,13838.82103,5647.160374,44364.20332,74023.30572,34532.44235,44589.26306,70412.84489,49525.3635,42285.26295,43561.72337,44496.38301,40505.66274,43291.54268,41405.16304,37424.10253,31577.64228,45194.76316,36663.04257,29420.42232,42151.1628
,414.3 -> 352.296,3539.32024,3753.240246,3703.400269,4003.820293,3823.940254,3530.600246,3732.060253,3645.38026,3625.680256,3597.600262,3412.820248,3510.400238,3459.100243,3824.180279,3519.900246,3388.180233,3348.320229,3171.360207,3542.400265,4212.100285,3597.440254,3512.200249,3540.440258,3696.980282,3586.440254,3495.14024,3518.160244,3800.34026,3519.08025,3578.28027,3875.440273,3282.520222,3651.520248,3439.560246,3414.600239,3625.200253
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3 -> 85.1,30195.54206,33812.14247,46124.88304,43430.76327,51571.58333,32904.06236,42708.72268,35227.84243,42219.98299,38499.96276,35482.0624,37647.42283,24599.56169,32064.30227,37812.76293,36626.36255,11870.92087,6445.960468,37551.14252,42913.3631,36154.94236,33344.72249,34744.46235,37976.54244,34209.06258,35936.34276,35169.0427,36274.62259,30651.40216,37721.36251,35352.68246,28323.34195,36300.82246,38530.26266,25353.8418,25222.46196
,420.3 -> 358.296,3774.340271,3449.360256,3594.120239,3709.680275,3465.780235,3444.560246,3356.480244,3511.140266,3768.640266,3546.360245,3394.160206,3552.960258,3404.080238,3453.500248,3403.020248,3618.26025,3344.460251,3195.120239,3680.420254,3607.160267,3387.34024,3468.280266,3340.820244,3447.880241,3575.360241,3470.860264,3437.66024,3431.600239,3402.140251,3524.380268,3360.300232,3170.820232,3386.22023,3338.540234,3300.380234,3407.640232
Stearidonyl carnitine,420.3 -> 85.1,59827.96429,49398.22307,52654.70374,53474.88346,52795.0646,68685.72494,68379.1048,60633.08431,62213.18396,66239.72459,60515.52457,68270.68477,47952.16359,63830.4043,157591.3105,61389.56358,15419.58086,7509.140533,68984.44534,51003.00388,47423.6031,56975.48373,58056.40403,61013.64439,66113.98489,61090.72478,57748.28386,68525.50475,64240.26458,143488.4498,63619.06467,59987.02411,57540.34392,60386.00426,65719.16504,52762.68332
,424.3 -> 362.296,3604.400242,3394.280251,3255.020218,3317.300247,3768.080273,3296.980228,3514.40023,3235.020222,3357.540249,3450.900261,3483.900227,3474.420238,3296.32021,3359.620232,3679.800259,3732.460247,3217.620224,3139.62022,3534.920261,3327.860233,3310.740227,3349.12022,3541.860245,3214.760231,3361.70023,3672.36026,3290.280262,3440.220245,3268.000214,3681.020245,3231.100224,3234.700237,3646.580261,3431.740223,3393.460232,3298.700233
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",424.3 -> 85.1,42057.84329,48348.00354,35762.3025,35895.00252,34466.28248,32870.96239,49952.44373,52127.58363,38140.32262,32969.14209,34781.86253,48094.76304,29827.66206,34644.50265,26803.72192,29912.20204,8731.180622,5969.420425,46621.58321,62084.16386,33996.2226,34763.06218,33870.18237,31990.98223,50236.46392,44424.48305,37231.88253,39004.68279,34190.88216,48664.38349,42413.32304,30702.80193,30930.14223,30473.32232,23808.4617,21626.80161
,426.4 -> 364.396,4071.340309,3902.780319,3416.340233,3368.04023,3359.000229,3500.820244,3676.180275,3742.180244,3594.040257,3665.940262,3408.440243,3788.420265,3440.800247,3436.400249,3442.860268,3508.840252,3361.120235,3194.760235,3724.160278,3732.440231,3383.22023,3269.680222,3555.620262,3447.460251,3782.020256,3712.880264,3549.040245,3554.120274,3644.54026,3567.200256,3763.940269,3435.880238,3718.000248,3694.100277,3344.360245,3371.200249
"O-oleoylcarnitine, Elaidic carnitine",426.4 -> 85.1,91421.38597,112302.8669,55057.2439,59992.48421,56028.62386,47052.8233,103150.247,102196.6681,53236.96421,56798.26431,50652.98334,96627.48708,56008.604,46555.32354,49109.10345,49113.26332,11777.80075,6133.740459,97520.82661,116540.7879,47147.68357,48659.26339,53124.30369,47086.68352,99301.50735,90417.30611,56192.90394,62277.38406,51816.48372,98658.70737,80021.88522,45402.72309,49068.74335,50219.20344,39084.92268,41148.68267
,428.4 -> 366.396,3527.180267,3776.740273,3341.940224,3459.740238,3549.760258,3569.720257,3317.080246,3323.580254,3360.880241,3507.740242,3412.540234,3456.480251,3327.160213,3206.380219,3438.580261,3424.000252,3318.560246,3144.500229,3647.520256,3242.500237,3291.360237,3406.720253,3552.400249,3359.94025,3326.540241,3523.020245,3430.260246,3202.640232,3424.580242,3799.820259,3724.78027,3236.820244,3508.580254,3244.140205,3485.960243,3433.660229
"Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester",428.4 -> 85.1,29564.86211,29030.40185,27679.2821,29904.88204,29789.34204,25966.14209,34698.26239,31300.08218,29662.742,26622.36192,28858.90196,30277.94206,20147.48155,22748.0016,27847.302,25583.20167,7861.300529,5934.40041,30801.82233,32749.46227,22566.14153,25304.32173,24875.622,25849.60179,32940.08228,31400.54218,27479.48204,28285.00219,26798.16184,31716.36203,26679.54177,22486.76162,25508.78186,27527.5419,21215.26153,21659.12143
,438.3 -> 376.296,3402.840229,3505.640244,3642.520245,3468.600231,3312.960239,3663.040276,3595.960243,3323.360233,3316.280228,3453.10025,3623.500267,3480.020241,3291.220222,3328.520233,3395.120247,3639.400257,3221.880219,3219.540241,3329.88023,3497.820221,3342.440239,3158.580212,3353.640221,3900.560272,3884.760273,3806.080261,3489.580238,3810.740276,3451.900223,3466.500248,3486.160263,3409.260254,3528.320259,3703.840271,3492.220253,3341.50024
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,27392.18196,25071.86183,25101.28157,27005.78204,23987.32168,30855.66208,31120.74231,31660.2423,32560.72214,33293.3218,29559.18215,33199.72239,22312.64164,28576.00204,22874.34154,22329.80154,8642.880554,5973.260452,27362.30195,25405.12194,25267.74166,28020.90207,28628.62217,30868.60207,31509.56207,33119.96257,30555.38235,32913.40192,34424.32265,25842.06181,27801.94197,26992.42197,22386.86158,22868.10169,21926.58155,20506.42135
,440.3 -> 378.296,8384.620598,9940.960701,5706.140415,5102.78035,5341.780361,4849.040321,9222.300598,8865.960583,4794.680336,5313.840366,5519.160347,9062.320587,5798.440434,4891.060341,5228.460373,5129.900341,3453.420238,3271.180244,8792.54063,10251.50073,5370.440376,4937.880333,5505.260368,5247.640366,8794.480595,7466.040531,4908.220345,5316.400368,5018.980377,8109.640602,8161.440582,4731.720337,5650.440411,5244.360382,4844.440319,4734.280346
"3-hydroxylinoleoylcarnitine,",440.3 -> 85.1,2594144.006,3623442.031,1127499.771,1195919.367,1043571.967,719892.6115,2978767.311,3198453.66,986539.8936,988886.4254,897410.9802,2825908.24,1583886.542,946066.6304,985254.4478,1009527.168,112519.2077,4990.840343,3003023.705,4240470.769,977089.3062,1036069.737,1087592.925,942695.4049,3114003.342,2727892.487,1010106.368,1225268.085,954764.9525,3105043.997,2381420.292,945803.3878,1068018.4,1083015.317,653772.1713,664334.8491
,442.3 -> 380.296,4585.240353,4361.820316,4180.860279,4082.320286,4430.920315,4183.160278,5172.860359,5100.220367,4300.080296,3749.70026,4171.060295,4557.700298,4289.400311,3774.620274,4305.000286,3825.880283,3320.500244,3120.480217,5587.120377,5220.500362,3868.980309,4140.140282,4506.580296,4114.820286,4800.50034,4528.840317,4193.680298,4140.560284,4396.260319,4658.740326,4832.780354,3728.800274,4312.560329,4059.980316,3925.140285,3997.2603
(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,87500.66659,109435.0476,49378.14354,51776.04394,49850.20364,50585.64388,99284.32721,103472.2272,51725.6432,50650.58335,44119.82315,94261.60669,58758.66414,46365.20318,46189.10283,47765.18351,12216.34089,5315.520355,100606.1671,126883.3283,46807.98338,49890.46395,50628.36357,45612.34298,105805.8467,93453.92642,52137.8839,58058.68382,49438.20373,103309.0469,83185.56556,45786.34335,47152.90331,48448.04353,40600.28301,34651.98244
