,lipid,Transition,type,Blank,veh_N1,Abe_N1,veh_N2,Abe_N2,veh_N3,Abe_N3,veh_N4,Abe_N4,veh_N5,Abe_N5,veh_N6,Abe_N6,veh_N7,Abe_N7
260,PC (42:6),862.6 -> 184.1,PCandSM,1704.460121,,,,,6582.900421,6944.300472,5846.240444,5974.280449,6855.960426,7981.380569,8202.940636,10248.46086,6312.360439,8449.640545
261,PC (42:7),860.6 -> 184.1,PCandSM,1658.360123,,,,,5665.900345,5184.52039,5110.680344,5530.000397,5832.000359,5269.060432,7712.300529,8644.38063,5430.480389,6517.940437
262,PC (42:8),858.6 -> 184.1,PCandSM,1345.620098,,,,,3583.440247,4247.380302,3445.060242,3732.820248,3938.100288,3987.740231,5341.000362,5040.28038,3466.860256,3937.980251
263,PC (42:9),856.6 -> 184.1,PCandSM,1423.700096,,,,,3896.920292,4309.080345,4297.640312,4379.020329,3968.740257,4672.260284,4664.240318,5058.880306,3974.880276,4248.560291
264,PC (44:0),902.8 -> 184.1,PCandSM,1397.980091,,,,,1852.70013,2015.780151,1808.580128,1715.640125,1990.660156,2065.780148,1761.280121,2024.380127,1829.280136,1823.940128
265,PC (44:1),900.7 -> 184.1,PCandSM,1457.760094,,,,,1731.90012,1601.820118,1686.080135,1856.940136,1709.640118,2021.00013,1903.420124,1479.060093,1860.820129,1998.920143
266,PC (44:10),882.6 -> 184.1,PCandSM,1551.060112,,,,,6917.560513,6552.560448,7763.020576,5468.220413,7297.000496,7037.780502,7586.18045,7300.680592,7783.960464,5748.800404
267,PC (44:12),878.6 -> 184.1,PCandSM,1345.920082,,,,,2690.420177,3155.060242,2258.620167,3014.460213,2567.420181,3447.300205,3146.840225,3091.84021,2427.460178,2837.680218
268,PC (44:2),898.7 -> 184.1,PCandSM,1441.660103,,,,,1774.200119,1766.520145,1773.860138,1587.840118,2133.060154,1681.400112,1823.540119,1889.820133,1941.100128,2020.040146
269,PC (44:3),896.7 -> 184.1,PCandSM,1442.820107,,,,,2065.22015,1990.840153,2184.020164,1643.000126,1712.300117,1902.980145,1936.380157,1988.960133,1811.66011,2077.200146
270,PC (44:4),894.7 -> 184.1,PCandSM,1368.720104,,,,,2829.560196,2309.48016,2189.000153,2409.860134,2038.640141,2230.880157,2194.160145,2367.56015,1986.300144,2274.980167
271,PC (44:5),892.7 -> 184.1,PCandSM,1477.720112,,,,,2156.300148,1985.140141,2268.960159,1769.640129,1967.140133,2036.000141,2138.400158,2472.440166,2164.020164,2338.580158
272,PC (44:6),890.7 -> 184.1,PCandSM,1342.420094,,,,,2092.560154,1970.000134,1737.680134,1557.320122,1847.640125,2076.780136,1835.260136,2204.300159,1861.320148,1984.660145
273,PC (44:7),888.6 -> 184.1,PCandSM,1362.540092,,,,,1733.480106,1829.540131,1701.960117,1920.56015,1757.780121,1829.280121,1636.300121,2070.580151,1794.520126,1568.580116
274,PC (44:8),886.6 -> 184.1,PCandSM,1288.280087,,,,,1575.8601,2101.560154,1923.140148,1632.380108,1667.740135,1912.120136,2114.56015,2303.36018,1791.20015,2177.460175
275,PC (46:0),930.8 -> 184.1,PCandSM,1431.30011,,,,,1577.120121,1733.360123,1657.680111,1678.800121,1819.220119,2031.340145,1871.120125,2056.340153,1655.520111,1519.940109
276,PC (46:1),928.8 -> 184.1,PCandSM,1376.120102,,,,,1590.960129,1676.160103,1547.560108,1488.78009,1453.96011,1669.980106,1522.2001,1993.120152,1496.840096,1645.220116
277,PC (46:2),926.8 -> 184.1,PCandSM,1356.520096,,,,,1683.740124,1555.800106,1670.0401,1493.080116,1604.420113,1652.000118,1735.520123,1700.360115,1546.680119,1699.100136
278,PC (48:0),958.8 -> 184.1,PCandSM,1348.880093,,,,,1508.980103,1601.540112,1470.580097,1375.800102,1663.380119,1608.2001,1776.940121,1805.520126,1747.380135,1626.040127
279,PC (48:2),954.8 -> 184.1,PCandSM,1332.320091,,,,,1961.520126,1727.560108,1723.260124,1707.260124,1678.040115,1729.600113,1789.180126,1671.940105,1575.560112,1977.060135
280,PC (50:0),986.9 -> 184.1,PCandSM,1369.180096,,,,,1529.480106,1573.940121,1572.200111,1490.600117,1434.440117,1514.440113,1566.660103,1647.020107,1477.960114,1411.680107
281,PC (52:0),1014.9 -> 184.1,PCandSM,1279.960087,,,,,1526.840103,1462.980099,1324.020088,1451.840107,1347.62009,1627.180119,1501.040127,1496.3801,1470.820103,1447.720104
282,PC (52:4),1006.8 -> 184.1,PCandSM,1315.340096,,,,,1927.820129,1650.360111,1585.760128,1722.400105,1676.440113,1928.040138,1615.680122,1817.540127,1622.540115,1749.02013
283,PCo(32:0),720.6 -> 184.1,PCandSM,4633.240334,,,,,30713.62222,31996.96246,26977.88184,29244.84223,26455.18223,33486.56194,37251.26242,36011.52264,28183.34184,34772.94247
284,PCo(32:1),718.6 -> 184.1,PCandSM,4366.500328,,,,,35634.02269,42955.80308,34414.06234,37387.50266,31234.94229,40816.18261,44463.40297,42614.4629,33161.44183,41688.94279
285,PCo(32:2),716.6 -> 184.1,PCandSM,1585.760105,,,,,9728.380669,10715.82067,8372.480663,8390.080711,8121.180592,10253.70078,10622.44082,10328.16076,8376.260635,11098.68087
286,PCo(32:3),714.5 -> 184.1,PCandSM,1662.920113,,,,,2867.520203,2701.320198,2371.400173,2394.360172,2387.980183,3291.040215,3081.600204,3185.160225,2575.860184,2440.720196
287,PCo(34:0),748.6 -> 184.1,PCandSM,3175.960247,,,,,21840.64154,28322.80231,19486.66125,23182.78131,20306.48128,26982.08206,26812.08182,27963.28207,20336.70153,26939.94166
288,PCo(34:1),746.6 -> 184.1,PCandSM,5370.32037,,,,,74204.24477,94655.60768,64760.6446,77891.94534,70587.6848,90427.2861,91670.70662,101344.3472,70829.26588,98875.48694
289,PCo(34:2),744.6 -> 184.1,PCandSM,2714.28019,,,,,34283.68226,39851.58225,29833.08207,35687.06256,31654.76234,41077.46319,41251.96242,43610.70316,29417.82204,41129.16269
290,PCo(34:3),742.6 -> 184.1,PCandSM,1448.020107,,,,,4531.540321,5222.040333,4535.720333,5146.340389,5427.860329,6416.800461,6493.080482,5736.500412,5845.680462,6616.060421
291,PCo(34:4),740.6 -> 184.1,PCandSM,1920.660141,,,,,10150.78065,9796.180527,8513.380592,8154.340603,8592.240486,9635.380608,11432.76083,10353.7007,9729.840698,11057.10077
292,PCo(36:0),776.6 -> 184.1,PCandSM,2730.260193,,,,,15658.341,19966.96121,16296.92102,17897.30142,14175.10086,20711.78131,22231.52163,20434.96156,16117.96111,19105.88107
293,PCo(36:1),774.6 -> 184.1,PCandSM,6320.740437,,,,,63137.00465,76940.04532,59711.46427,64205.90392,60940.784,76151.34494,77311.525,86591.84601,61025.70408,74955.56509
294,PCo(36:2),772.6 -> 184.1,PCandSM,2889.940186,,,,,23084.96157,26731.56196,21138.96159,26772.68164,22056.28174,27820.82201,28562.38207,31213.38211,22034.00179,29422.36213
295,PCo(36:3),770.6 -> 184.1,PCandSM,1653.080116,,,,,9706.380692,12383.52085,10157.74078,10488.76073,10273.36061,12343.16084,13821.22089,13548.56097,9864.100681,12560.30079
296,PCo(36:4),768.6 -> 184.1,PCandSM,1621.580116,,,,,11852.16091,15750.12115,13989.82093,13428.58106,11877.12085,18002.72137,15711.00118,16029.78099,12932.90102,14886.04092
297,PCo(36:5),766.6 -> 184.1,PCandSM,1637.620117,,,,,11423.96091,13633.561,12388.82088,13355.40094,12309.88084,13567.68102,13966.00098,15353.76109,11951.52073,14531.08112
298,PCo(38:0),804.7 -> 184.1,PCandSM,1818.540134,,,,,9632.220657,12224.02103,9510.720615,11384.96077,9648.780636,11527.5609,12091.76089,12461.36092,9053.740612,10872.98067
299,PCo(38:1),802.7 -> 184.1,PCandSM,4289.42025,,,,,31237.08252,37875.56259,31170.44217,33281.54237,29728.2821,38774.42256,41025.30272,41446.3224,26616.70188,36771.96266
300,PCo(38:2),800.6 -> 184.1,PCandSM,3955.900284,,,,,29052.66178,35065.58234,26818.66166,31579.62234,27576.56185,35817.30281,38918.74237,43703.88307,29885.50231,35317.1825
301,PCo(38:3),798.6 -> 184.1,PCandSM,2350.540169,,,,,17333.10137,20358.28168,14546.94103,16192.28102,16668.92109,21893.86148,19903.22142,20158.52119,16225.82112,21709.04162
302,PCo(38:4),796.6 -> 184.1,PCandSM,1891.200134,,,,,17807.70118,21663.30172,15626.58104,18502.02121,15803.82118,20802.9015,22642.36156,24097.48174,15504.12111,20412.34149
303,PCo(38:5),794.6 -> 184.1,PCandSM,2239.600155,,,,,17431.12131,22064.40161,18550.10118,20501.30135,18451.64152,23901.90167,24503.20157,24700.46172,16794.8611,24072.78133
304,PCo(38:6),792.6 -> 184.1,PCandSM,1918.22015,,,,,22288.38147,26193.12158,20302.84128,24551.50186,20557.02166,29378.92199,27060.70178,30373.42236,22759.92162,28357.16196
305,PCo(40:0),832.7 -> 184.1,PCandSM,1891.800129,,,,,22107.92167,27458.74186,23115.6818,23898.76197,21172.90141,27168.44148,30729.16212,28791.52155,22972.30147,31508.88229
306,PCo(40:1),830.7 -> 184.1,PCandSM,1888.720127,,,,,7357.620541,8100.400566,6671.68055,8127.300587,7617.760464,7698.520523,9388.880547,9301.280643,6596.720482,9048.900642
307,PCo(40:2),828.7 -> 184.1,PCandSM,2178.020149,,,,,8774.060684,7865.380596,7153.120461,7766.920506,7943.060627,7989.120495,9391.580685,8753.260681,8374.580631,8967.080666
308,PCo(40:3),826.6 -> 184.1,PCandSM,1628.600117,,,,,8068.540611,9036.400497,7832.180584,8505.98061,8211.860664,9708.54068,9231.840633,10084.64069,7286.900551,9537.060677
309,PCo(40:4),824.6 -> 184.1,PCandSM,1846.980137,,,,,11497.42089,11715.64081,10515.40068,11466.80073,9438.040699,14098.08099,11567.48084,14212.88098,9656.120796,13700.98096
310,PCo(40:5),822.6 -> 184.1,PCandSM,1924.68013,,,,,20831.50134,24673.88182,18427.54132,23689.82174,20174.32137,24477.40155,24039.84172,26755.62183,21314.9213,28184.18226
311,PCo(40:6),820.6 -> 184.1,PCandSM,1785.580132,,,,,25685.00182,29144.88208,27354.88183,29758.36201,28436.76196,35666.04281,31814.24239,33066.16251,28623.16203,33472.04234
312,PCo(42:0),860.7 -> 184.1,PCandSM,1478.800121,,,,,6697.26054,6970.040493,4651.400295,5874.600426,5682.30032,6358.880417,7654.080559,9328.000542,6060.760441,6254.360386
313,PCo(42:1),858.7 -> 184.1,PCandSM,1437.920094,,,,,3827.180298,3761.800213,4187.300316,3584.120232,4772.02039,5361.180347,5948.020443,5948.060425,3232.800194,5211.040371
314,PCo(42:2),856.7 -> 184.1,PCandSM,1341.880089,,,,,3396.500256,5007.020351,3563.240246,4466.920292,4173.680286,4288.680317,5119.380402,4935.360313,3280.920208,4879.740299
315,PCo(42:3),854.7 -> 184.1,PCandSM,1549.860115,,,,,3109.260231,3839.540295,3158.86021,3361.000259,3607.720249,4228.180313,4362.120296,4981.680378,3707.460224,4026.34029
316,PCo(42:4),852.7 -> 184.1,PCandSM,1537.380108,,,,,4381.420341,5328.180378,5012.240341,5074.560387,4193.800259,5417.140396,4129.200306,5893.180382,4485.800304,5625.940392
317,PCo(42:6),848.6 -> 184.1,PCandSM,2513.960163,,,,,13913.08104,16105.02107,14034.06114,14812.24091,15670.50101,18994.46143,19422.54153,20922.86148,13798.06115,20146.08131
318,PCo(44:3),882.7 -> 184.1,PCandSM,1433.300114,,,,,7259.120453,6960.140484,8060.400631,5809.920341,6012.180443,7096.64061,7135.720455,8028.020538,8260.340572,5647.60046
319,PCo(44:4),880.7 -> 184.1,PCandSM,1426.320091,,,,,2530.820187,2630.180206,2115.660145,2947.880207,2310.140175,2407.000187,2976.940216,2889.180199,2855.620228,3365.520279
320,PCo(44:5),878.7 -> 184.1,PCandSM,1570.500122,,,,,2657.680195,2653.540184,2840.780197,2385.220173,2574.100178,3214.400249,2869.520218,3567.240318,2998.660206,2791.020176
321,PCp(32:4),738.5 -> 184.1,PCandSM,5420.420383,,,,,86169.54515,84346.30511,70225.26453,76627.66632,68543.78508,89439.86624,103937.3662,101105.2269,73525.94524,99621.54697
322,PCp(36:5),764.6 -> 184.1,PCandSM,1651.000111,,,,,8164.580555,9173.160641,8249.840591,9772.940788,7695.18055,10213.32077,10228.1207,10808.14071,8514.780601,10093.34071
323,PCp(40:6),818.6 -> 184.1,PCandSM,1972.740135,,,,,15697.08126,18512.52126,13969.04103,14793.321,13737.64094,17410.04131,18194.94144,19288.72145,15005.42109,17819.52115
324,PCp(42:4),850.7 -> 184.1,PCandSM,1759.600109,,,,,8765.560665,11373.00082,9970.020657,10347.82071,9915.800766,11885.88089,12722.3609,13289.38097,9224.52063,12681.08088
325,PCp(42:6),846.6 -> 184.1,PCandSM,1784.360138,,,,,38142.3424,46468.80328,40692.28275,43401.50337,50074.40424,53549.62369,59427.68298,59739.28384,48623.70303,60524.58345
326,SM (d16:1/18:1),701.6 -> 184.1,PCandSM,7750.780533,,,,,119286.1091,145414.3109,110209.8876,121845.8088,108860.3066,149768.4708,150827.4094,152422.7514,108852.3871,147738.1309
327,SM (d16:1/22:1),757.6 -> 184.1,PCandSM,2773.940247,,,,,21160.44132,24632.14165,20476.28164,21401.18133,18484.32122,27863.04202,23484.7618,25337.62192,20055.60181,25486.46176
328,SM (d16:1/24:0),787.7 -> 184.1,PCandSM,24085.52167,,,,,275267.4399,323232.6458,255664.4972,278065.918,242005.815,317898.6621,333493.2609,356902.6852,258051.0423,363468.6227
329,SM (d16:1/24:1),785.6 -> 184.1,PCandSM,11581.96084,,,,,125585.2099,147771.6295,116072.7485,134445.8698,118268.4074,158082.9919,160465.83,170222.8731,122874.4905,171123.0308
330,SM (d18:0/12:0),649.5 -> 184.1,PCandSM,1622.900112,,,,,2483.680176,2144.060162,1742.560123,2423.680157,2611.000191,2662.280212,2852.660187,3014.280212,2623.300182,2950.300217
331,SM (d18:0/14:0),677.6 -> 184.1,PCandSM,1899.140129,,,,,7433.480545,9995.180725,6733.460407,8907.200645,7464.640537,10551.70078,10289.60087,10512.94069,8018.340519,9796.600719
332,SM (d18:0/16:0),705.6 -> 184.1,PCandSM,11424.84096,,,,,131352.9295,158379.5907,112479.4886,127092.1493,104375.508,153037.7515,156201.27,157741.4322,124036.5872,157267.374
333,SM (d18:0/18:0),733.6 -> 184.1,PCandSM,5672.600349,,,,,51022.9436,59276.22421,44454.52316,48131.34313,41280.72278,56582.72478,59076.50442,60818.28443,50438.90438,62235.30423
334,SM (d18:0/20:0),761.6 -> 184.1,PCandSM,15156.30092,,,,,280497.0184,347524.1859,263297.0173,305401.6796,274962.5997,364512.2396,372221.5433,396627.7696,276430.2176,386868.1078
335,SM (d18:0/22:0),789.7 -> 184.1,PCandSM,13936.80097,,,,,193910.6722,236293.4377,180214.552,209114.5943,181878.4923,249692.377,238588.0165,268420.6184,187186.1534,270671.4406
336,SM (d18:0/24:0),817.7 -> 184.1,PCandSM,3570.200279,,,,,21663.8416,21923.68133,20278.24124,23126.18182,19313.62157,25792.50177,25415.04193,27808.50167,21189.36129,24288.04176
337,SM (d18:0/26:0),845.7 -> 184.1,PCandSM,1557.380119,,,,,4930.740341,5379.280399,4582.540333,5320.040409,5371.860332,6257.040504,5909.420399,6129.140404,5725.060406,6199.84045
338,SM (d18:1/12:0),647.5 -> 184.1,PCandSM,1383.260098,,,,,2803.280182,3094.78022,2402.520161,2683.340179,2712.260185,2843.380203,3910.700268,2790.060173,3223.540199,2578.260201
339,SM (d18:1/14:0),675.5 -> 184.1,PCandSM,4204.060318,,,,,45034.48339,49079.08316,36891.80247,40540.00282,34132.44238,50423.04308,49348.36388,51305.5234,38279.18293,46291.18299
340,SM (d18:1/16:0),703.6 -> 184.1,PCandSM,73473.806,,,,,1051197.558,1211069.146,930245.2959,1016333.117,831260.001,1193319.344,1218661.039,1268865.622,956235.5664,1176649.161
341,SM (d18:1/18:0),731.6 -> 184.1,PCandSM,15249.26096,,,,,176889.7341,201167.7137,153973.9702,166375.3918,147044.2909,196266.6716,206996.5744,216830.1165,155014.1504,205739.9969
342,SM (d18:1/18:1)9Z)),729.6 -> 184.1,PCandSM,5324.720394,,,,,59361.96442,73270.24531,54187.46331,61592.66383,53395.58412,70352.02425,72517.30482,76869.98503,59813.52438,71757.04514
343,SM (d18:1/20:0),759.6 -> 184.1,PCandSM,7768.860558,,,,,99671.82739,118654.6681,90247.96514,99437.98653,94558.16711,118050.2685,126654.0279,124949.5895,95611.40622,126056.4889
344,SM (d18:1/24:0),815.7 -> 184.1,PCandSM,15955.52107,,,,,141949.1101,162969.7321,125757.1272,137367.4729,115283.6897,161796.3096,179596.3322,178373.4535,120840.948,159916.0101
345,SM (d18:1/24:1)15Z)),813.7 -> 184.1,PCandSM,32264.60178,,,,,354191.6415,425843.5494,326064.5236,377625.4865,305671.0391,431288.7965,437910.4102,459397.388,341853.0813,426918.9166
346,SM (d18:1/26:0),843.7 -> 184.1,PCandSM,1862.540131,,,,,4381.120281,4042.920254,3881.200287,3433.220261,3450.120262,4634.500294,4282.420322,4578.600319,3053.120182,4558.380337
347,SM (d18:1/26:1)17Z)),841.7 -> 184.1,PCandSM,1533.580097,,,,,6354.920444,6831.740498,6728.460484,7303.700459,6889.480541,8051.800503,7501.560547,7958.780537,6685.420437,7338.360493
348,SM (d18:2/14:0),673.5 -> 184.1,PCandSM,1455.44009,,,,,5618.080341,5982.920429,4948.980362,4884.700367,4614.200317,5636.240387,5748.34042,5187.760319,5080.540379,5389.940437
349,SM (d18:2/18:1),727.6 -> 184.1,PCandSM,1574.340111,,,,,3027.820198,2954.720219,3079.700188,2747.620213,2590.780197,3871.620258,2917.760181,3444.880264,3189.040249,3033.940197
350,SM (d18:2/20:1),755.6 -> 184.1,PCandSM,1487.620106,,,,,8887.060616,10043.40076,7957.5406,8352.000561,7975.500595,11077.10078,11069.24067,10904.06075,9140.16066,10161.58075
351,SM (d18:2/22:1),783.6 -> 184.1,PCandSM,4038.280296,,,,,41503.36264,53012.42419,41683.74245,45876.62347,43678.66315,57323.74382,55921.06427,60544.82478,41370.30243,53633.66373
352,SM (d18:2/24:1),811.7 -> 184.1,PCandSM,12295.72083,,,,,192520.6741,240567.0961,185871.6953,206145.1532,187997.952,244650.3168,251517.8783,259969.2199,179948.4926,250203.5952
353,STD_15:0-18:1(d7) PC,754.11 -> 184.1,PCandSM,2131.040157,,,,,26883.62206,28002.44221,24097.36137,26356.02197,24843.86176,29798.96228,32263.94257,32237.98257,27135.02187,31242.02266
354,STD_d18:1-18:1(d9) SM,738.64 -> 184.1,PCandSM,6044.500439,,,,,113097.928,115973.8889,98982.24718,104766.8874,94128.56685,124019.2682,136840.7885,138914.8484,102079.1667,118981.068
355,PE (12:0),398.2303 -> 257.2303,PE,1525.280117,,,,,1531.420124,1721.340122,1517.820095,1637.540123,1819.420135,1593.380085,1332.380096,1394.920105,1716.20013,1531.100105
356,PE (14:0),426.2616 -> 285.2616,PE,1343.960098,,,,,3901.400272,3787.000305,3834.720272,3593.120243,3943.760231,4318.220333,2891.440228,3401.240253,4633.380341,2732.020222
357,PE (14:1),424.246 -> 283.246,PE,1483.340096,,,,,3129.060215,2834.920177,2864.340191,2715.340176,2501.380184,2367.300167,2780.68018,2027.020126,2911.16021,2235.940163
358,PE (16:0),454.2929 -> 313.2929,PE,1721.400127,,,,,1617.080124,1938.26012,1917.660145,1668.440121,1704.280121,1707.40012,1746.120117,1745.680122,1563.860096,1906.680122
359,PE (16:1),452.2773 -> 311.2773,PE,1405.240108,,,,,1819.260132,1686.780117,1595.840115,1698.980125,1692.580109,2036.480156,1964.040127,1853.100121,1735.880112,1844.260124
360,PE (18:0),482.3242 -> 341.3242,PE,1881.940144,,,,,2190.180157,2388.580173,2271.680141,2713.040195,2454.240173,2587.20018,2343.760204,2460.82019,2848.400219,2391.52018
361,PE (18:1),480.3086 -> 339.3086,PE,2326.120163,,,,,1554.260101,1872.380138,1430.720093,1654.380116,1782.160118,2055.800129,1782.460133,2077.680157,1547.560108,1551.24012
362,PE (18:2),478.2929 -> 337.2929,PE,1689.420113,,,,,1525.320095,1636.980122,1389.180088,1503.980106,1730.700127,1420.900093,1452.180103,1536.180115,1332.940098,1577.240124
363,PE (18:3),476.2773 -> 335.2773,PE,1291.240082,,,,,1611.62011,1763.960106,1488.840099,1484.66011,1841.500145,1843.76012,1809.900127,1550.820126,1694.980106,1480.3801
364,PE (18:4),474.2616 -> 333.2616,PE,1411.700104,,,,,1976.180145,1758.580132,1660.100113,1475.080097,1481.960102,1685.060112,1546.560108,1564.800095,1745.240108,1531.260109
365,PE (20:0),510.3555 -> 369.3555,PE,1547.240097,,,,,1825.62014,1914.12014,2178.520149,1934.680149,1578.840103,1842.880127,1845.280117,1660.780121,1917.040134,2033.460178
366,PE (20:1),508.3399 -> 367.3399,PE,1449.140106,,,,,1654.540115,1450.460091,1515.860107,1523.760113,1504.620102,1412.540112,1475.220116,1410.260109,1453.28009,1535.420105
367,PE (20:2),506.3242 -> 365.3242,PE,1464.100121,,,,,1466.980103,1424.660107,1431.920094,1413.600098,1569.840107,1462.320087,1525.62009,2004.060139,1674.540127,1379.540092
368,PE (20:3),504.3086 -> 363.3086,PE,2019.860142,,,,,1502.240101,1387.32011,1508.720104,1467.240089,1384.640091,1751.040127,1495.240105,1822.840118,1695.520103,1673.340107
369,PE (20:4),502.2929 -> 361.2929,PE,3239.940258,,,,,1599.520111,1827.200127,1757.420135,1496.000107,1759.040119,1809.820133,1964.980145,1839.640129,1540.020092,1689.200119
370,PE (20:5),500.2773 -> 359.2773,PE,1344.260101,,,,,1430.520107,1691.92012,1808.540134,1442.920097,1509.340118,1366.2001,1689.140137,1775.260117,1477.120106,1435.000099
371,PE (21:0),524.3348 -> 383.3348,PE,1372.26009,,,,,1509.280102,1642.040108,1485.700108,1654.020119,1408.800098,1412.680084,1425.600094,1371.880108,1549.660107,1505.3801
372,PE (22:0),538.3868 -> 397.3868,PE,1373.820103,,,,,1610.48011,1502.640106,1744.080132,1321.040096,1285.420097,1423.000092,1342.100094,1579.260109,1361.980095,1594.460121
373,PE (22:1),536.3712 -> 395.3712,PE,1351.180092,,,,,1544.860115,1501.940105,1437.460098,1466.78009,1338.780098,1544.840103,1503.5201,1449.920101,1520.2001,1301.32008
374,PE (22:2),534.3555 -> 393.3555,PE,1390.560104,,,,,2048.040142,2230.460148,2030.600147,1718.160126,2316.700138,1931.400143,2433.060184,2002.680149,2207.360157,2187.940166
375,PE (22:4),530.3242 -> 389.3242,PE,2484.280148,,,,,1412.660114,1608.18013,1504.900105,1618.020107,1404.180096,1557.340103,1632.200111,1520.800117,1492.780106,1446.200096
376,PE (22:6),526.2929 -> 385.2929,PE,2627.720207,,,,,1598.840122,1691.940109,2662.040176,1945.620136,1880.920135,2652.400211,2209.400166,2570.280151,2230.880177,2184.040157
377,PE (24:0),580.3974 -> 439.3974,PE,1760.020153,,,,,1344.220097,1351.160103,1361.860092,1349.020084,1282.000095,1361.740097,1279.200081,1503.400108,1277.180092,1281.480095
378,PE (26:0),608.4287 -> 467.4287,PE,1421.240105,,,,,1449.120102,1775.780121,1361.700108,1411.020096,1401.640087,1415.240116,1270.98008,1489.860104,1343.660091,1516.180107
379,PE (26:1),606.4131 -> 465.4131,PE,1524.360126,,,,,1341.640099,1381.480099,1466.560093,1396.040096,1266.860085,1349.700096,1397.320107,1412.960098,1430.2001,1396.3801
380,PE (28:0),636.46 -> 495.46,PE,1376.980095,,,,,1328.260082,1475.320107,1324.760094,1376.12009,1311.720104,1301.18008,1371.400097,1351.340103,1302.540092,1338.660084
381,PE (28:1),634.4444 -> 493.4444,PE,1354.3801,,,,,1409.580097,1296.880089,1298.7001,1259.460091,1316.840103,1351.580097,1254.320095,1451.200104,1318.92009,1316.060093
382,PE (28:2),632.4287 -> 491.4287,PE,1461.360104,,,,,1327.440105,1301.420097,1334.740093,1267.260086,1331.000092,1248.540089,1386.280094,1260.480091,1305.580097,1340.660088
383,PE (30:0),664.4913 -> 523.4913,PE,1330.540096,,,,,1347.960087,1474.0401,1421.300102,1355.420094,1436.080109,1345.840099,1339.100094,1311.220085,1415.480099,1422.220093
384,PE (30:1),662.4757 -> 521.4757,PE,1358.200089,,,,,1346.300095,1299.480091,1331.280094,1264.000084,1352.080093,1349.200096,1311.60009,1365.220089,1324.260098,1424.780098
385,PE (30:2),660.46 -> 519.46,PE,1351.380096,,,,,1396.600094,1293.040096,1326.940094,1362.440102,1369.640095,1323.500084,1295.480091,1364.520096,1288.280102,1349.780102
386,PE (30:3),658.4444 -> 517.4444,PE,1370.900105,,,,,1492.220112,1420.320103,1432.960098,1315.800091,1442.080101,1294.800091,1403.96011,1363.780102,1423.740093,1402.520119
387,PE (30:4),656.4287 -> 515.4287,PE,1317.42009,,,,,1407.10009,1583.56012,1341.680103,1202.200085,1280.720097,1310.000095,1306.160099,1521.760117,1311.440094,1396.08012
388,PE (32:0),692.5226 -> 551.5226,PE,1297.180088,,,,,1542.32011,1612.440121,1479.280098,1413.7001,1505.120106,1663.420113,1755.880131,1458.580105,1485.000107,1783.820152
389,PE (32:1),690.507 -> 549.507,PE,1443.360092,,,,,1328.740093,1414.020084,1364.26009,1274.360092,1272.280083,1387.840088,1375.080109,1286.300091,1375.340099,1297.180096
390,PE (32:2),688.4913 -> 547.4913,PE,1361.300102,,,,,1436.420097,1424.660095,1372.180092,1353.860107,1359.320087,1366.980103,1271.000084,1391.060093,1272.440094,1408.760094
391,PE (32:3),686.4757 -> 545.4757,PE,1368.960087,,,,,1407.320103,1397.640095,1270.640083,1387.380096,1433.760101,1401.380096,1284.12009,1378.380093,1479.500103,1272.420082
392,PE (32:4),684.46 -> 543.46,PE,1303.700096,,,,,1475.540104,1383.860088,1406.460098,1453.340096,1502.660107,1468.2001,1399.160084,1375.980106,1345.600105,1372.780106
393,PE (32:5),682.4444 -> 541.4444,PE,1386.720108,,,,,1376.7201,1392.260086,1303.640099,1338.980087,1347.620098,1343.520096,1452.560101,1319.260101,1409.940113,1322.18008
394,PE (34:0),720.5539 -> 579.5539,PE,1497.12011,,,,,1454.680107,1359.500088,1344.12009,1351.820091,1362.040104,1471.580112,1258.76009,1406.640091,1325.320095,1380.800095
395,PE (34:1),718.5383 -> 577.5383,PE,2261.380169,,,,,1605.340122,1476.160107,1480.540096,1595.220116,1345.700096,1566.260098,1478.840096,1813.820152,1555.14011,1505.880108
396,PE (34:2),716.5226 -> 575.5226,PE,1704.340111,,,,,1479.560101,1359.620098,1382.080112,1338.500088,1395.640099,1419.900089,1324.580097,1435.600098,1329.740101,1391.720104
397,PE (34:3),714.507 -> 573.507,PE,1457.960091,,,,,1680.020126,1540.360104,1634.740124,1459.46011,1417.620102,1645.540115,1725.620148,1541.580116,1515.220097,1573.340111
398,PE (34:4),712.4913 -> 571.4913,PE,3009.760197,,,,,8189.960552,7450.040524,6610.140411,7461.060661,6763.820473,8166.420624,9192.160603,8760.160545,6012.580502,9127.000576
399,PE (34:5),710.4757 -> 569.4757,PE,1539.760109,,,,,2496.160172,2502.380203,1882.300117,2659.100197,1859.520138,2374.960163,2492.460182,2471.020157,2073.860146,2616.420181
400,PE (34:6),708.46 -> 567.46,PE,1471.280106,,,,,1406.440102,1357.44009,1441.860104,1343.960083,1280.400089,1295.160088,1296.540092,1290.420101,1410.880104,1308.940083
401,PE (36:0),748.5852 -> 607.5852,PE,1513.080097,,,,,1345.000088,1492.980106,1387.220104,1638.980103,1892.02013,1632.820129,1567.200104,1674.680111,1337.380093,1567.000118
402,PE (36:1),746.5696 -> 605.5696,PE,3624.400242,,,,,1616.500118,1427.180099,1667.940125,1736.98011,1581.300121,1585.640106,1495.960102,1797.620144,1639.92012,1697.160118
